# TCVN 6056 to Unicode mappings compiled from multiple versions of the Unihan database from
#   Unicode 3.1.1 or later. The character encoding described is incompatible with the one
#   described by Unihan databases from Unicode 3.1.0 or earlier; presumably the newer data is
#   the correct data.
#
0x4C5D	U+51AC
0x4C5E	U+51B0
0x4C5F	U+51B5
0x4C60	U+51B6
0x4C61	U+51B7
0x4C62	U+51BD
0x4C63	U+51C6
0x4C64	U+51CC
0x4C65	U+51CD
0x4C66	U+51DC
0x4C67	U+51DD
0x4C68	U+51E0
0x4C69	U+51E1
0x4C6A	U+51ED
0x4C6B	U+51F1
0x4C6C	U+51F6
0x4C6D	U+51FA
0x4C6E	U+51FD
0x4C6F	U+5200
0x4C70	U+5201
0x4C71	U+5203
0x4C72	U+5206
0x4C73	U+5207
0x4C74	U+520A
0x4C75	U+520C
0x4C76	U+520E
0x4C77	U+5211
0x4C78	U+5217
0x4C79	U+521D
0x4C7A	U+5220
0x4C7B	U+5224
0x4C7C	U+5225
0x4C7D	U+5227
0x4C7E	U+5228
0x4D21	U+5229
0x4D22	U+5230
0x4D23	U+5236
0x4D24	U+5237
0x4D25	U+523A
0x4D26	U+523B
0x4D27	U+5247
0x4D28	U+524A
0x4D29	U+524D
0x4D2A	U+525D
0x4D2B	U+5267
0x4D2C	U+526A
0x4D2D	U+526F
0x4D2E	U+5272
0x4D2F	U+5275
0x4D30	U+5277
0x4D31	U+527F
0x4D32	U+5282
0x4D33	U+5283
0x4D34	U+5284
0x4D35	U+5287
0x4D36	U+528D
0x4D37	U+5291
0x4D38	U+5295
0x4D39	U+529B
0x4D3A	U+529F
0x4D3B	U+52A0
0x4D3C	U+52A9
0x4D3D	U+52AC
0x4D3E	U+52B9
0x4D3F	U+52BE
0x4D40	U+52C1
0x4D41	U+52C3
0x4D42	U+52C7
0x4D43	U+52C9
0x4D44	U+52D1
0x4D45	U+52D2
0x4D46	U+52D5
0x4D47	U+52D6
0x4D48	U+52D8
0x4D49	U+52D9
0x4D4A	U+52DB
0x4D4B	U+52DD
0x4D4C	U+52DE
0x4D4D	U+52E2
0x4D4E	U+52E4
0x4D4F	U+52E6
0x4D50	U+52F5
0x4D51	U+52F8
0x4D52	U+52FA
0x4D53	U+52FF
0x4D54	U+5305
0x4D55	U+5308
0x4D56	U+530D
0x4D57	U+530F
0x4D58	U+5310
0x4D59	U+5316
0x4D5A	U+531D
0x4D5B	U+5321
0x4D5C	U+5323
0x4D5D	U+532A
0x4D5E	U+5331
0x4D5F	U+5339
0x4D60	U+533C
0x4D61	U+533F
0x4D62	U+5340
0x4D63	U+5341
0x4D64	U+5343
0x4D65	U+5345
0x4D66	U+5347
0x4D67	U+5348
0x4D68	U+534A
0x4D69	U+534C
0x4D6A	U+5352
0x4D6B	U+5353
0x4D6C	U+5354
0x4D6D	U+5357
0x4D6E	U+535A
0x4D6F	U+535C
0x4D70	U+535E
0x4D71	U+5360
0x4D72	U+5366
0x4D73	U+536C
0x4D74	U+536F
0x4D75	U+5370
0x4D76	U+5371
0x4D77	U+5372
0x4D78	U+5373
0x4D79	U+5377
0x4D7A	U+537B
0x4D7B	U+537F
0x4D7C	U+5384
0x4D7D	U+5393
0x4D7E	U+5394
0x4E21	U+5398
0x4E22	U+539B
0x4E23	U+539D
0x4E24	U+539F
0x4E25	U+53AD
0x4E26	U+53B2
0x4E27	U+53BB
0x4E28	U+53C3
0x4E29	U+53C8
0x4E2A	U+53CA
0x4E2B	U+53CB
0x4E2C	U+53CC
0x4E2D	U+53CD
0x4E2E	U+53D4
0x4E2F	U+53D6
0x4E30	U+53D7
0x4E31	U+53DB
0x4E32	U+53E0
0x4E33	U+53E3
0x4E34	U+53E4
0x4E35	U+53E5
0x4E36	U+53E6
0x4E37	U+53E9
0x4E38	U+53EA
0x4E39	U+53EB
0x4E3A	U+53EC
0x4E3B	U+53EE
0x4E3C	U+53EF
0x4E3D	U+53F0
0x4E3E	U+53F1
0x4E3F	U+53F2
0x4E40	U+53F3
0x4E41	U+53F7
0x4E42	U+53F8
0x4E43	U+53FB
0x4E44	U+5401
0x4E45	U+5404
0x4E46	U+5408
0x4E47	U+5409
0x4E48	U+540C
0x4E49	U+540D
0x4E4A	U+540E
0x4E4B	U+540F
0x4E4C	U+5410
0x4E4D	U+5411
0x4E4E	U+5412
0x4E4F	U+5413
0x4E50	U+5414
0x4E51	U+541B
0x4E52	U+541D
0x4E53	U+541F
0x4E54	U+5423
0x4E55	U+5426
0x4E56	U+5429
0x4E57	U+542B
0x4E58	U+542C
0x4E59	U+5433
0x4E5A	U+5435
0x4E5B	U+5439
0x4E5C	U+543B
0x4E5D	U+543C
