# TCVN 5773 to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
#
0x3324	U+35E2
0x3325	U+20F3E
0x3326	U+20F44
0x3327	U+5607
0x3328	U+20F48
0x3329	U+20F4C
0x332A	U+20EDB
0x332B	U+20F51
0x332C	U+5641
0x332D	U+20FEE
0x332E	U+20FA6
0x332F	U+21020
0x3330	U+21023
0x3331	U+20FBB
0x3332	U+20FBF
0x3333	U+20F5E
0x3334	U+20FC1
0x3335	U+20FC3
0x3336	U+5635
0x3337	U+20FEF
0x3338	U+35F4
0x3339	U+20F66
0x333A	U+21026
0x333B	U+5652
0x333C	U+5639
0x333D	U+20FA3
0x333E	U+5640
0x333F	U+20F54
0x3340	U+5642
0x3341	U+20F93
0x3342	U+5645
0x3343	U+564B
0x3344	U+2102B
0x3345	U+2102D
0x3346	U+5660
0x3347	U+21007
0x3348	U+5672
0x3349	U+21031
0x334A	U+5677
0x334B	U+2105C
0x334C	U+21035
0x334D	U+210B7
0x334E	U+20FF3
0x334F	U+20FF7
0x3350	U+20FF1
0x3351	U+20FF9
0x3352	U+5665
0x3353	U+21014
0x3354	U+5661
0x3355	U+20FB7
0x3356	U+21064
0x3357	U+2104E
0x3358	U+5689
0x3359	U+210F3
0x335A	U+21083
0x335B	U+21059
0x335C	U+21085
0x335D	U+2105B
0x335E	U+210B0
0x335F	U+5688
0x3360	U+3607
0x3361	U+21088
0x3362	U+210CD
0x3363	U+210CF
0x3364	U+2108D
0x3366	U+210D5
0x3367	U+360B
0x3368	U+210D6
0x3369	U+210D8
0x336A	U+210DA
0x336B	U+2110D
0x336C	U+5695
0x336D	U+210A1
0x336E	U+210B3
0x336F	U+2110E
0x3370	U+2110F
0x3371	U+210CA
0x3372	U+3613
0x3373	U+210FF
0x3374	U+21110
0x3375	U+2113E
0x3376	U+21121
0x3377	U+21127
0x3378	U+21129
0x3379	U+21101
0x337A	U+2112A
0x337B	U+21149
0x337C	U+2114B
0x337D	U+56C4
0x337E	U+3616
0x3421	U+2114D
0x3422	U+21167
0x3423	U+2116A
0x3424	U+2116F
0x3425	U+21177
0x3426	U+21181
0x3427	U+21188
0x3428	U+21196
0x3429	U+21198
0x342B	U+211FB
0x342C	U+21221
0x342D	U+2124F
0x342E	U+21255
0x342F	U+572C
0x3430	U+2127D
0x3431	U+2127F
0x3432	U+3628
0x3433	U+574B
0x3434	U+575F
0x3435	U+212B1
0x3436	U+212B2
0x3437	U+212B0
0x3438	U+5775
0x3439	U+5783
0x343A	U+5786
0x343B	U+212A0
0x343C	U+576D
0x343D	U+212E5
0x343E	U+57A0
0x343F	U+57AE
0x3440	U+212C3
0x3441	U+212C2
0x3442	U+212C1
0x3443	U+212C0
0x3444	U+21300
0x3445	U+57D5
0x3446	U+FA0F
0x3447	U+57C2
0x3448	U+21322
0x3449	U+212FF
0x344A	U+21358
0x344B	U+57EC
0x344C	U+2135A
0x344D	U+2135C
0x344E	U+57DD
0x344F	U+2139B
0x3450	U+2139D
0x3451	U+213A0
0x3452	U+214C1
0x3453	U+21498
0x3454	U+5858
0x3455	U+213E1
0x3456	U+213E2
0x3457	U+213E4
0x3458	U+5864
0x3459	U+213E6
0x345A	U+58AB
0x345B	U+213FD
0x345C	U+3664
0x345D	U+21417
0x345E	U+21418
0x345F	U+5873
0x3460	U+21453
0x3461	U+366E
0x3462	U+58A9
0x3463	U+2145D
0x3464	U+58C8
0x3465	U+21471
0x3466	U+21472
0x3467	U+214AF
0x3468	U+21469
0x3469	U+3674
0x346A	U+21457
0x346B	U+21475
0x346C	U+21511
0x346D	U+214C3
0x346E	U+214CE
0x346F	U+214E0
0x3470	U+261C7
0x3471	U+59C2
0x3472	U+216D4
0x3473	U+59B8
0x3474	U+59C9
