# "VHN 01:1998" to Unicode mappings compiled from multiple versions of the Unihan database,
#   excluding those for the Compatibility Ideographs Supplement Unicode block.
0x7075	U+20E20
0x7076	U+20E23
0x7077	U+20E25
0x7078	U+20E27
0x7079	U+20E2A
0x707A	U+20E2C
0x707B	U+20DE6
0x707C	U+35DE
0x707D	U+20E3A
0x707E	U+20E57
0x7121	U+20E5B
0x7122	U+20EAF
0x7123	U+20EB3
0x7124	U+20EB9
0x7125	U+20EBD
0x7127	U+20E95
0x7128	U+20EC6
0x7129	U+20EC9
0x712A	U+20E74
0x712B	U+20EA6
0x712C	U+20EB0
0x712D	U+20EB4
0x712E	U+20EA0
0x712F	U+20EBE
0x7130	U+20EC2
0x7131	U+20EC4
0x7132	U+20E9A
0x7133	U+20ECA
0x7134	U+20E7D
0x7135	U+20EA7
0x7136	U+20EB1
0x7137	U+20EB5
0x7138	U+20EBA
0x7139	U+20EBF
0x713A	U+20EC3
0x713B	U+20EC5
0x713C	U+20EC7
0x713D	U+20ECB
0x713E	U+5605
0x713F	U+20EA8
0x7140	U+20EE4
0x7141	U+20EEA
0x7142	U+20F59
0x7143	U+20F33
0x7144	U+20F37
0x7145	U+20F3F
0x7146	U+20F45
0x7147	U+20F49
0x7148	U+20F4D
0x7149	U+561E
0x714A	U+20F55
0x714B	U+20ED3
0x714C	U+20F15
0x714D	U+20F34
0x714E	U+20F38
0x714F	U+20F40
0x7150	U+20F46
0x7151	U+20F4A
0x7152	U+20F4E
0x7153	U+20F52
0x7154	U+20ED2
0x7155	U+20EE5
0x7156	U+20EFD
0x7157	U+20F35
0x7158	U+20F39
0x7159	U+20F41
0x715A	U+20F16
0x715B	U+20E72
0x715C	U+20F4F
0x715D	U+2639B
0x715E	U+20F6E
0x715F	U+20F80
0x7160	U+20FB8
0x7161	U+20FBA
0x7162	U+20FBC
0x7163	U+561F
0x7164	U+20FC0
0x7165	U+20FC2
0x7166	U+20F9B
0x7167	U+20FC4
0x7168	U+20FF0
0x7169	U+20F94
0x716A	U+20F5B
0x716C	U+20FBD
0x716D	U+20FF2
0x716E	U+20FC8
0x716F	U+20FD2
0x7170	U+20F92
0x7171	U+21024
0x7172	U+21028
0x7173	U+2102C
0x7174	U+2102E
0x7175	U+21030
0x7176	U+21032
0x7177	U+20FDA
0x7178	U+21036
0x7179	U+20FF4
0x717A	U+21021
0x717B	U+21025
0x717C	U+21029
0x717D	U+21002
0x717E	U+2102F
0x7221	U+20FFF
0x7222	U+21033
0x7223	U+21034
0x7224	U+21037
0x7225	U+20FF5
0x7226	U+2105A
0x7227	U+3603
0x7228	U+2102A
0x7229	U+2103F
0x722A	U+3608
0x722B	U+21079
0x722C	U+20FF8
0x722D	U+2107D
0x722E	U+2107E
0x722F	U+21080
0x7230	U+21082
0x7231	U+21084
0x7232	U+21086
0x7233	U+21089
0x7234	U+2105E
0x7235	U+2107A
0x7236	U+2107C
0x7237	U+21160
0x7238	U+2107F
0x7239	U+21081
0x723A	U+210AE
0x723B	U+210AF
0x723C	U+21087
0x723D	U+21092
0x723E	U+21093
0x723F	U+210CB
0x7240	U+21091
0x7241	U+210D0
0x7242	U+210D2
0x7243	U+210D3
0x7245	U+210D7
0x7246	U+210D9
0x7247	U+210DB
0x7248	U+210B5
0x7249	U+210CC
0x724A	U+210CE
0x724B	U+210D1
0x724C	U+210B9
0x724D	U+210D4
0x724E	U+2108E
0x724F	U+210F9
0x7250	U+210FA
0x7251	U+21099
0x7252	U+210FB
0x7253	U+210FC
0x7255	U+210FD
0x7256	U+210FE
0x7257	U+210DC
0x7258	U+21126
0x7259	U+21128
0x725A	U+56B7
0x725B	U+2112B
0x725C	U+21125
0x725D	U+2112D
0x725E	U+2112E
0x725F	U+2112F
0x7260	U+2114A
0x7261	U+2114C
0x7262	U+2114E
0x7263	U+2114F
0x7264	U+21151
0x7265	U+21152
0x7266	U+21169
0x7267	U+21162
0x7268	U+21168
0x7269	U+2116B
0x726A	U+2116C
0x726B	U+21173
0x726C	U+21182
0x726D	U+21184
0x726E	U+2118C
0x726F	U+2118D
0x7271	U+21191
0x7272	U+21199
0x7273	U+2119A
0x7274	U+2119E
0x7275	U+211F8
0x7276	U+21229
0x7277	U+2123A
0x7278	U+21256
0x7279	U+2127E
0x727A	U+24B2A
0x727B	U+212B3
0x727C	U+212B8
0x727D	U+21320
0x727E	U+21323
0x7322	U+2133F
0x7323	U+2133D
0x7324	U+2135D
0x7325	U+2135E
0x7326	U+2135F
0x7327	U+21362
0x7328	U+2139E
0x7329	U+213A1
0x732A	U+213A3
0x732B	U+213A4
0x732C	U+21363
0x732D	U+213A5
0x732E	U+213A6
0x732F	U+2142E
0x7330	U+213E0
0x7331	U+213DF
0x7332	U+213E3
0x7333	U+213E5
0x7334	U+213D8
0x7335	U+213DB
0x7336	U+213E7
0x7337	U+213EF
0x7338	U+589B
0x7339	U+21419
0x733B	U+213AD
0x733C	U+21456
0x733D	U+21470
0x733E	U+21452
0x733F	U+21473
0x7340	U+21474
0x7341	U+214AB
0x7342	U+214AC
0x7343	U+214AD
0x7344	U+214AE
0x7345	U+214C2
0x7346	U+214C4
0x7347	U+214C5
0x7348	U+214C7
0x7349	U+214C8
0x734A	U+214D4
0x734B	U+214DE
0x734C	U+214E1
0x734D	U+214CF
0x734E	U+214E5
0x734F	U+214EE
0x7350	U+214EF
0x7351	U+214FE
0x7352	U+21503
0x7353	U+2150D
0x7354	U+21512
0x7355	U+21514
0x7356	U+21516
0x7357	U+2153F
0x7358	U+21575
0x7359	U+215A1
0x735A	U+215B5
0x735B	U+5923
0x735C	U+215BC
0x735D	U+5926
0x735E	U+215C2
0x735F	U+215CA
0x7360	U+215CE
0x7361	U+2162E
0x7362	U+2162F
0x7363	U+254F9
0x7364	U+21666
0x7365	U+21667
0x7366	U+21674
0x7367	U+21675
0x7368	U+21683
0x7369	U+2168E
0x736A	U+2169A
0x736B	U+216A1
0x736C	U+216A2
0x736D	U+216A6
0x736E	U+21755
0x736F	U+21756
0x7371	U+21796
0x7372	U+21797
0x7373	U+5AB8
0x7374	U+21845
0x7375	U+21847
0x7376	U+21866
0x7377	U+21842
0x7378	U+21867
0x7379	U+218BC
0x737A	U+218E7
0x737B	U+218E8
0x737C	U+218C4
0x737D	U+2190A
0x737E	U+21914
0x7421	U+21920
0x7422	U+2194C
0x7423	U+21964
0x7424	U+21982
0x7425	U+21985
0x7426	U+2405B
0x7427	U+219B6
0x7428	U+21A27
0x7429	U+21A9C
0x742A	U+21AEB
0x742B	U+21B3C
0x742C	U+21B55
0x742D	U+200DD
0x742E	U+21B5C
0x742F	U+21B67
0x7430	U+21B6C
0x7431	U+21B70
0x7432	U+21B71
0x7433	U+21B72
