# "Hán Nôm Coded Character Repertoire 2007" to Unicode mappings compiled from multiple versions
#   of the Unihan database.
#
0x4335	U+314C4
0x4338	U+2A84A
0x433B	U+20C95
0x433D	U+2BAA3
0x433E	U+301FC
0x433F	U+314D5
0x4341	U+2A851
0x4342	U+2A854
0x4343	U+2A857
0x4344	U+2BA97
0x4345	U+20D74
0x4347	U+2BAA5
0x4348	U+2A85A
0x4349	U+2BAB8
0x434A	U+2A85D
0x434B	U+314F1
0x434C	U+2BAB9
0x434D	U+2C9F2
0x434F	U+2D246
0x4350	U+2A865
0x4351	U+2BABF
0x4352	U+2A866
0x4353	U+2BAC0
0x4355	U+2A869
0x4356	U+2D251
0x4357	U+2A86D
0x4358	U+2BAD2
0x4359	U+2D277
0x435A	U+2A86B
0x435B	U+314F3
0x435C	U+2A86F
0x435D	U+2D269
0x435E	U+2A871
0x435F	U+2A874
0x4360	U+31502
0x4361	U+2A875
0x4362	U+2A877
0x4363	U+32572
0x4364	U+2A87B
0x4365	U+2BADB
0x4366	U+2C707
0x4367	U+2BADE
0x4368	U+2BADC
0x4369	U+31522
0x436A	U+2C429
0x436B	U+2C69E
0x436C	U+2A87D
0x436D	U+2A87E
0x436E	U+3258D
0x436F	U+2A87F
0x4370	U+31512
0x4371	U+2BAE4
0x4372	U+2A883
0x4373	U+2BAE5
0x4374	U+2BAD7
0x4375	U+2C709
0x4376	U+2C70C
0x4377	U+2C70A
0x4378	U+2A888
0x4379	U+2A886
0x437A	U+325A5
0x437B	U+31529
0x437C	U+3152A
0x437D	U+2A88D
0x437E	U+2BAF4
0x4421	U+2BAEB
0x4422	U+2A88C
0x4423	U+3152B
0x4424	U+2A88F
0x4426	U+2BB0E
0x4427	U+2BAF9
0x4428	U+2D2D9
0x442A	U+325A6
0x442B	U+2A892
0x442C	U+2BB0A
0x442D	U+2C70E
0x442E	U+325D5
0x442F	U+2BB11
0x4430	U+2BB0D
0x4431	U+2A896
0x4432	U+2A898
0x4433	U+31554
0x4435	U+2BB15
0x4436	U+33204
0x4437	U+2BAFA
0x4438	U+2A89C
0x443A	U+2A8A0
0x443C	U+2A8A1
0x443D	U+325EC
0x443E	U+2BB22
0x4440	U+2BB29
0x4441	U+2BB31
0x4443	U+2A8A3
0x4444	U+2BB2E
0x4445	U+2BB23
0x4446	U+2BB20
0x4448	U+2A8A4
0x4449	U+2BB2A
0x444A	U+32612
0x444B	U+3156B
0x444C	U+31577
0x444D	U+9FB1
0x444E	U+2BB45
0x444F	U+2BB50
0x4450	U+2BB54
0x4451	U+2A8B0
0x4452	U+2BB55
0x4453	U+2A8B7
0x4454	U+2A8C5
0x4455	U+2BB67
0x4458	U+2BB75
0x4459	U+2A8E0
0x445A	U+2BB7B
0x445B	U+2134B
0x445C	U+2BB7F
0x445D	U+2A8EE
0x445E	U+2BB82
0x4460	U+2A8F0
0x4461	U+2A8F1
0x4462	U+5812
0x4463	U+2BB8B
0x4464	U+3266A
0x4465	U+2A8FD
0x4467	U+2BB87
0x4468	U+2BB92
0x4469	U+2A8FE
0x446A	U+2A904
0x446C	U+2A90D
0x446D	U+2BBA1
0x446E	U+2A918
0x4470	U+2BBA2
0x4471	U+2BBA6
0x4472	U+2BBA5
0x4474	U+31605
0x4475	U+2A924
0x4476	U+2BBB2
0x4477	U+2BBB1
0x4479	U+2BBB7
0x447A	U+2BBB9
0x447B	U+31614
0x447C	U+2A932
0x447D	U+2BBC5
0x447E	U+2BBC6
0x4521	U+2BBC7
0x4522	U+2BBCA
0x4524	U+2A937
0x4525	U+326B1
0x4526	U+2A938
0x4527	U+2BBCD
0x4529	U+2A93A
0x452A	U+2BBCF
0x452B	U+2A93B
0x452C	U+2BBD0
0x452D	U+2BBD3
0x452E	U+2A93D
0x452F	U+2BBD5
0x4530	U+2A93E
0x4531	U+2BBD6
0x4532	U+2A93F
0x4533	U+2BBD7
0x4534	U+2BBD9
0x4536	U+2A940
0x4537	U+2CCA2
0x4538	U+2CB9C
0x4539	U+3EAF
0x453A	U+2BBDD
0x453B	U+2BBE1
0x453C	U+2A949
0x453E	U+2A94C
0x453F	U+2A951
0x4540	U+2BBE7
0x4542	U+2BBE8
0x4543	U+2BBE9
0x4544	U+2A958
0x4545	U+2BBF0
0x4546	U+2BBF2
0x4547	U+2BBF3
0x4548	U+2A95B
0x4549	U+2BBF5
0x454A	U+2A95E
0x454B	U+2BBFF
0x454C	U+2BC04
0x454D	U+2BC05
0x454E	U+2BC07
0x454F	U+2BC15
0x4550	U+2A96F
0x4551	U+2BC23
0x4552	U+2BC24
0x4553	U+2BC1F
0x4554	U+2A97B
0x4555	U+2BC2E
0x4556	U+2A977
0x4557	U+2BC34
0x4558	U+2BC38
0x4559	U+2A986
0x455A	U+2A97E
0x455D	U+2BC51
0x455E	U+2BC45
0x455F	U+2A98D
0x4560	U+2BC4F
0x4561	U+2A98E
0x4563	U+2A993
0x4564	U+2BC57
0x4565	U+2A99A
0x4566	U+2BC64
0x4567	U+2A99C
0x4568	U+2BC69
0x4569	U+2A99F
0x456A	U+2BC6A
0x456B	U+2BC78
0x456C	U+2BC6C
0x456E	U+2BC5E
0x4570	U+2BC83
0x4571	U+2BC8D
0x4572	U+2BC8E
0x4573	U+2A9AD
0x4574	U+2A9B2
0x4576	U+2A9B8
0x4577	U+2BCA2
0x4578	U+2BCA4
0x457A	U+2A9BC
0x457B	U+2BCAC
0x457C	U+2BCB0
0x457D	U+2BCB3
0x457E	U+2A9C4
0x4621	U+2BCB4
0x4622	U+2BCBC
0x4623	U+2A9CD
0x4624	U+2BCD8
0x4625	U+2A9DA
0x4626	U+2BCED
0x4627	U+2A9E1
0x4628	U+2BCF9
0x4629	U+2BD10
0x462A	U+2A9F1
0x462B	U+2BD07
0x462C	U+2BD1E
0x462D	U+2BD1A
0x462F	U+2BD2C
0x4630	U+2BD2D
0x4631	U+2A9F8
0x4632	U+2BD2F
0x4633	U+2A9FA
0x4634	U+2BD31
0x4635	U+2BD32
0x4636	U+2BD33
0x4637	U+2BD35
0x4638	U+2A9FB
0x4639	U+2A9FE
0x463A	U+2BD36
0x463B	U+2BD37
0x463D	U+2BB5A
0x463E	U+2A9FF
0x463F	U+2BD38
0x4640	U+2BD3A
0x4641	U+2AA00
0x4643	U+2AA01
0x4644	U+2BD3C
0x4645	U+2C0B8
0x4646	U+2BD44
0x4647	U+2BD3F
0x4648	U+2BD43
0x464B	U+2BD40
0x464D	U+2BD3E
0x464F	U+2AA03
0x4650	U+2BD47
0x4652	U+2AA04
0x4653	U+2BD48
0x4654	U+2BD4A
0x4655	U+2AA05
0x4656	U+2BD4B
0x4658	U+2AA06
0x4659	U+316AB
0x465A	U+2BD4D
0x465B	U+2AA08
0x465C	U+2BD5B
0x465D	U+663C
0x465E	U+316B9
0x465F	U+2AA10
0x4660	U+2BD5F
0x4663	U+2AA16
0x4664	U+2BD61
0x4666	U+2AF5B
0x4667	U+2BD62
0x4668	U+2AA1A
0x4669	U+2BD65
0x466A	U+2BD67
0x466B	U+2AA1B
0x466C	U+2BD66
0x466D	U+2AA1D
0x466E	U+2AA1E
0x466F	U+2BD68
0x4670	U+2AA20
0x4671	U+2BD6B
0x4672	U+2BD6D
0x4674	U+2AA23
0x4675	U+2D58C
0x4676	U+21E90
0x4677	U+2AA41
0x4678	U+2CE98
0x4679	U+2AA54
0x467A	U+2BD9C
0x467B	U+2AA5C
0x467D	U+3242E
0x4721	U+2BDAE
0x4722	U+31717
0x4723	U+2AA64
0x4725	U+327A1
0x4726	U+2AA65
0x4727	U+31718
0x4728	U+2BDAF
0x4729	U+2AA66
0x472B	U+2BDB0
0x472C	U+2AA67
0x472D	U+327A4
0x472E	U+2BDB1
0x472F	U+2BDB3
0x4731	U+2BDB4
0x4732	U+3171C
0x4733	U+2AA68
0x4734	U+2AA6A
0x4735	U+3171D
0x4736	U+2BDB5
0x4737	U+2AA6C
0x4738	U+2BDB7
0x4739	U+2030A
0x473A	U+2AA6D
0x473B	U+3171E
0x473C	U+2AA6E
0x473D	U+2BDB8
0x473E	U+2AA6F
0x473F	U+2BDBA
0x4740	U+2AA71
0x4741	U+2BDBB
0x4742	U+2BDBC
0x4744	U+2BDC6
0x4745	U+327B0
0x4746	U+2AA75
0x4747	U+2BDC7
0x4748	U+2AA7A
0x4749	U+2BDCD
0x474A	U+2BDCF
0x474B	U+2AA7C
0x474C	U+2BDD0
0x474D	U+2BDDC
0x474E	U+2BDD3
0x474F	U+2AA80
0x4750	U+2BDD7
0x4751	U+2AA84
0x4752	U+2BDD9
0x4753	U+2AA85
0x4754	U+2BDDA
0x4755	U+2AA86
0x4756	U+2AA87
0x4757	U+2BDDD
0x4758	U+2BDDE
0x4759	U+2AA88
0x475B	U+2AA89
0x475C	U+2BDE4
