# "VHN 02:1998" to Unicode mappings compiled from multiple versions of the Unihan database.
#
0x3524	U+25412
0x3525	U+25428
0x3526	U+2546D
0x3527	U+78EE
0x3528	U+25591
0x3529	U+255E8
0x352A	U+2562A
0x352B	U+7971
0x352C	U+256D7
0x352D	U+25721
0x352E	U+25765
0x3530	U+79F1
0x3531	U+257C9
0x3532	U+2582E
0x3534	U+258B3
0x3535	U+258AC
0x3536	U+258D2
0x3537	U+2599D
0x3538	U+25F64
0x3539	U+2638D
0x353A	U+21130
0x353B	U+26830
0x353C	U+270F5
0x353D	U+2716C
0x3544	U+289A7
0x3548	U+92FE
0x354A	U+9387
0x354B	U+28A24
0x354C	U+28B61
0x354F	U+28AC8
0x3551	U+9437
0x3552	U+28B7A
0x3555	U+28BC3
0x3558	U+28C08
0x3559	U+28C2A
0x355B	U+95D8
0x355C	U+28F3C
0x355F	U+29084
0x3560	U+29091
0x3562	U+29095
0x3563	U+290A0
0x3565	U+9704
0x3569	U+29131
0x356A	U+29134
0x356B	U+2915C
0x356C	U+2915A
0x356D	U+972E
0x356E	U+2917A
0x3570	U+291AC
0x3572	U+291C5
0x3573	U+29546
0x3574	U+295C3
0x3575	U+29604
0x3576	U+296A7
0x3577	U+297C2
0x3578	U+2977B
0x3579	U+297F5
0x357A	U+29831
0x357B	U+2984B
0x357C	U+29915
0x357D	U+9A3E
0x357E	U+29A7F
0x3622	U+29D2C
0x3624	U+9B8B
0x3625	U+9B97
0x3626	U+9BDC
0x3627	U+29E6A
0x3628	U+29E6C
0x362A	U+29E8C
0x362B	U+29EA3
0x362E	U+29EFA
0x362F	U+29F22
0x3630	U+29FB0
0x3631	U+29FDA
0x3632	U+2A005
0x3633	U+9D33
0x3634	U+9D5C
0x3635	U+2A076
0x3636	U+2A0A0
0x3637	U+2A105
0x3638	U+2A0B1
0x3639	U+9DA0
0x363A	U+2A10C
0x363B	U+2A138
0x363C	U+2A165
0x363E	U+2A1CC
0x363F	U+2A274
0x3640	U+2A497
0x3641	U+2A5AC
0x3642	U+2A5BA
0x3643	U+4D9E
0x3644	U+2A6C5
0x3645	U+2204A
0x3646	U+20D98
0x3647	U+7C0B
0x3649	U+41EA
0x364B	U+25B88
0x364C	U+420A
0x364D	U+25BC8
0x364E	U+25C68
0x3650	U+7C09
0x3651	U+25D19
0x3652	U+25D80
0x3653	U+25DD2
0x3654	U+25DE7
0x3655	U+25E1D
0x3656	U+7C91
0x3657	U+25EBB
0x3658	U+25EE0
0x3659	U+25EE2
0x365A	U+25F44
0x365B	U+25F54
0x365C	U+25F98
0x365D	U+25FBF
0x365E	U+25F9B
0x3660	U+2602B
0x3662	U+2603A
0x3663	U+7DB4
0x3664	U+7E06
0x3665	U+260C0
0x3666	U+7DF2
0x3668	U+2616E
0x366B	U+26199
0x366C	U+2623D
0x366D	U+262D5
0x366E	U+263AC
0x3670	U+265DE
0x3672	U+26665
0x3675	U+26695
0x3678	U+266AD
0x3679	U+266CA
0x367A	U+813A
0x367C	U+26744
0x367D	U+26747
0x367E	U+2683D
0x3722	U+267CB
0x3723	U+267CF
0x3724	U+267D1
0x3725	U+267EA
0x3728	U+26806
0x3729	U+2686E
0x372B	U+81C1
0x372C	U+81C9
0x372D	U+2685E
0x372E	U+2689E
0x372F	U+268D7
0x3730	U+26A11
0x3731	U+26A1C
0x3732	U+26A22
0x3733	U+26A8F
0x3734	U+82DE
0x3738	U+8373
0x3739	U+26BEC
0x373A	U+26C20
0x373D	U+8409
0x373E	U+26CB5
0x373F	U+26CBC
0x3741	U+26D0B
0x3742	U+26D59
0x3743	U+26DFE
0x3744	U+84A2
0x3747	U+26F25
0x3749	U+2701C
0x374A	U+26F1C
0x374B	U+859D
0x374D	U+26F54
0x374E	U+26FA2
0x3750	U+27075
0x3751	U+4571
0x3753	U+27135
0x3754	U+27133
0x3758	U+86BD
0x375A	U+86C4
0x375B	U+2727B
0x375C	U+86CC
0x375F	U+272C2
0x3760	U+272C5
0x3761	U+272C7
0x3762	U+8704
0x3763	U+272D8
0x3765	U+45C5
0x3766	U+27345
0x3767	U+27348
0x3769	U+273F1
0x376A	U+27416
0x376B	U+2743A
0x376C	U+87AF
0x376D	U+27489
0x376E	U+2748A
0x376F	U+2748B
0x3770	U+274C6
0x3771	U+2751B
0x3774	U+461C
0x3775	U+887D
0x3776	U+888A
0x3777	U+888C
0x377A	U+88AA
0x377B	U+88B4
0x377C	U+2767C
0x377D	U+276A2
0x377E	U+88FA
