# The supplementary charset for names of persons and places from the Han'yō Denshi Programme
0x2A62	U+4B39
0x2A63	U+8218
0x2A64	U+4B3C
0x2A65	U+296DE
0x2A66	U+9911
0x2A67	U+9912
0x2A68	U+4B40
0x2A69	U+9915
0x2A6A	U+296E5
0x2A6B	U+9916
0x2A6C	U+9917
0x2A6D	U+296FA
0x2A6E	U+991A
0x2A6F	U+991B
0x2A70	U+4B43
0x2A71	U+991C
0x2A72	U+4B45
0x2A73	U+991F
0x2A74	U+29706
0x2A75	U+29708
0x2A76	U+2970B
0x2A77	U+9922
0x2A78	U+9923
0x2A79	U+9926
0x2A7A	U+4B47
0x2A7B	U+9927
0x2A7C	U+2970F
0x2A7D	U+9929
0x2B21	U+992A
0x2B22	U+992B
0x2B23	U+992D
0x2B24	U+2972F
0x2B25	U+4B49
0x2B26	U+29734
0x2B27	U+9930
0x2B29	U+9932
0x2B2A	U+29739
0x2B2B	U+9933
0x2B2C	U+4B4B
0x2B2E	U+2973F
0x2B30	U+29759
0x2B31	U+4B50
0x2B33	U+4B51
0x2B34	U+993B
0x2B35	U+2975D
0x2B36	U+4B52
0x2B37	U+993C
0x2B39	U+4B54
0x2B3A	U+9940
0x2B3B	U+9941
0x2B3C	U+9936
0x2B3D	U+9942
0x2B3E	U+9944
0x2B3F	U+29780
0x2B40	U+29783
0x2B42	U+9947
0x2B43	U+2978F
0x2B44	U+9948
0x2B45	U+9949
0x2B46	U+2978D
0x2B47	U+29791
0x2B48	U+297AB
0x2B49	U+297AD
0x2B4A	U+297A1
0x2B4B	U+994A
0x2B4D	U+297A7
0x2B4E	U+994C
0x2B4F	U+994D
0x2B50	U+994E
0x2B51	U+297B7
0x2B52	U+297C4
0x2B53	U+9956
0x2B55	U+297CB
0x2B56	U+9959
0x2B58	U+4B63
0x2B59	U+995B
0x2B5A	U+297F1
0x2B5B	U+995D
0x2B5C	U+995E
0x2B5D	U+995F
0x2B5F	U+9960
0x2B60	U+9961
0x2B61	U+4B69
0x2B62	U+297FD
0x2B64	U+29D4B
0x2B65	U+9C31
0x2B66	U+9C41
0x2B67	U+2B814
0x2B68	U+9D84
0x2B69	U+9DB4
0x2B6A	U+22256
0x2B6B	U+4D2A
0x2B6C	U+2A502
0x2B6D	U+9F31
0x2D23	U+2B741
0x2D25	U+2B741
0x2D26	U+4E30
0x2D28	U+4E35
0x2D29	U+20AD5
0x2D34	U+20135
0x2D35	U+4EAE
0x2D36	U+4EB6
0x2D37	U+9F4A
0x2D39	U+4EB9
0x2D40	U+4F00
0x2D42	U+4ED7
0x2D47	U+4F60
0x2D4A	U+3446
0x2D4E	U+4F7D
0x2D59	U+3457
0x2D5A	U+4FB1
0x2D5D	U+4FDE
0x2D60	U+2A73D
0x2D6C	U+5060
0x2D6D	U+5070
0x2D6E	U+202B7
0x2D75	U+202F6
0x2D79	U+202EF
0x2D7A	U+50A2
0x2D7C	U+2031C
0x2E24	U+20331
0x2E2A	U+50F4
0x2E2E	U+349E
0x2E31	U+20477
0x2E40	U+5195
0x2E42	U+519D
0x2E45	U+2A796
0x2E4A	U+51CA
0x2E4B	U+34D5
0x2E50	U+2062D
0x2E51	U+58F3
0x2E56	U+5238
0x2E5C	U+34FB
0x2E61	U+20833
0x2E69	U+2085F
0x2E6B	U+351D
0x2E6E	U+52CC
0x2E72	U+52EC
0x2E76	U+3524
0x2E78	U+5305
0x2E7A	U+2090F
0x2F22	U+5335
0x2F23	U+533C
0x2F27	U+20980
0x2F2D	U+3552
0x2F34	U+7231
0x2F35	U+FA0E
0x2F43	U+5544
0x2F47	U+35BF
0x2F48	U+20DD5
0x2F53	U+5605
0x2F55	U+20EFB
0x2F5B	U+20F8F
0x2F5F	U+21014
0x2F60	U+27BFC
0x2F65	U+5702
0x2F69	U+5734
0x2F6A	U+2124E
0x2F70	U+5794
0x3023	U+585A
0x3028	U+5881
0x3031	U+5905
0x3032	U+8641
0x3036	U+5946
0x303A	U+369A
0x303C	U+369C
0x303D	U+595F
0x3047	U+439F
0x304C	U+5A7E
0x3052	U+5B34
0x305B	U+3757
0x305D	U+21A02
0x305E	U+21A1B
0x305F	U+219FD
0x3061	U+375D
0x3063	U+68A5
0x3065	U+21A3D
0x3067	U+5BD7
0x3069	U+2A9DF
0x306A	U+2B770
0x306D	U+2A9E8
0x306F	U+5BFD
0x3072	U+5C07
0x3123	U+21D3E
0x3127	U+233B5
0x3129	U+21D6C
0x312E	U+21D88
0x3131	U+5CC0
0x313A	U+37D4
0x313B	U+5CE6
0x313E	U+21E1B
0x313F	U+5D27
0x314E	U+21EC5
0x3151	U+5D92
0x3152	U+21F16
0x3154	U+21F86
0x315A	U+22037
0x315B	U+3838
0x315D	U+383F
0x3163	U+5E3E
0x3168	U+5E6A
0x3169	U+5E6D
0x316C	U+5179
0x3170	U+5EAC
0x3173	U+2B776
0x317E	U+38A3
0x3223	U+5F0E
0x3226	U+5F21
0x3232	U+5F45
0x323E	U+224DC
0x323F	U+38DB
0x3243	U+22504
0x3244	U+2251B
0x3245	U+5F8F
0x3249	U+38EB
0x324F	U+38FC
0x3253	U+22606
0x3254	U+22609
0x3256	U+2AAE7
0x3257	U+605D
0x3258	U+2266E
0x3260	U+60E0
0x3263	U+2AB03
0x3269	U+2272B
0x326C	U+2276B
0x3276	U+6193
0x3277	U+615C
0x3325	U+61DE
0x3327	U+2295A
0x3329	U+39B7
0x332A	U+22A25
0x332F	U+39D4
0x3331	U+62D0
0x3333	U+62F4
0x333A	U+3A03
0x3342	U+22C72
0x3343	U+6452
0x3344	U+63FE
0x3349	U+6424
0x334A	U+6422
0x334E	U+6460
0x335F	U+3A97
0x3362	U+6569
0x3370	U+65B5
0x3374	U+23146
0x3375	U+3AD2
0x3376	U+6600
0x3377	U+6608
0x3378	U+3AD9
0x3422	U+2317D
0x3427	U+2B782
0x3428	U+231A5
0x342F	U+6674
0x3430	U+231E8
0x3434	U+23209
0x343A	U+3B08
0x3446	U+3B1D
0x344E	U+6702
0x344F	U+23356
0x3450	U+670B
0x3451	U+3B33
0x3457	U+266D5
0x3465	U+2686B
0x3468	U+6743
0x346E	U+233FE
0x3534	U+6998
0x3540	U+69E9
0x3545	U+2B78C
0x3546	U+69D9
0x3550	U+2B78E
0x3551	U+6A49
0x3554	U+6A5D
0x3564	U+6ADC
0x356E	U+239AF
0x3572	U+3C88
0x3578	U+6C0E
0x357A	U+23C47
0x357C	U+6C52
0x3621	U+6C67
0x3624	U+23CB2
0x3625	U+3CCC
0x3626	U+3CCF
0x3627	U+23CC2
0x362C	U+3CD8
0x3635	U+6D69
0x3638	U+2AD89
0x363E	U+6DBF
0x3640	U+3CFD
0x3641	U+23D8F
0x3662	U+9ECE
0x3670	U+2ADE4
0x3673	U+701E
0x3674	U+24072
0x3676	U+2407D
0x367A	U+7027
0x367B	U+7027
0x3721	U+706E
0x372A	U+3DB4
0x3734	U+24285
0x3735	U+713D
0x373A	U+242DC
0x373E	U+3DEE
0x3744	U+2437D
0x3745	U+2AE65
0x3747	U+51DE
0x374F	U+721F
0x3752	U+2455E
0x3754	U+2456D
0x3760	U+247E4
0x3761	U+24816
0x3762	U+7348
0x3764	U+735E
0x3765	U+2486D
0x3766	U+248C5
0x3767	U+3EA8
0x3768	U+7393
0x376D	U+2490B
0x3777	U+73F9
0x377B	U+3EC6
0x3827	U+7422
0x382B	U+743C
0x3830	U+7451
0x3835	U+249B9
0x3836	U+249EB
0x3841	U+74A3
0x3847	U+74A9
0x3850	U+3F32
0x3853	U+24C05
0x3857	U+24C2C
0x3862	U+7600
0x386B	U+3FDD
0x386F	U+24F4C
0x3877	U+2A269
0x3879	U+771F
0x387E	U+4038
0x392C	U+2541A
0x392E	U+409F
0x3930	U+40A8
0x3934	U+787A
0x3937	U+78B0
0x393A	U+78CC
0x393B	U+2555E
0x393F	U+78F5
0x3944	U+793C
0x3947	U+7940
0x3949	U+7940
0x394B	U+2B003
0x394F	U+25640
0x395E	U+2567F
0x396C	U+256F6
0x3971	U+25762
0x3973	U+25764
0x3975	U+25780
0x397D	U+4150
0x3A22	U+257D8
0x3A27	U+2583D
0x3A2A	U+2586A
0x3A2D	U+25897
0x3A33	U+7ABB
0x3A38	U+41CF
0x3A39	U+41D0
0x3A40	U+25AAE
0x3A42	U+25AAF
0x3A44	U+25AC3
0x3A45	U+25ADF
0x3A49	U+25AF5
0x3A4F	U+25BC3
0x3A52	U+7B9E
0x3A53	U+2B7BF
0x3A58	U+7BFE
0x3A61	U+25E27
0x3A62	U+7C7E
0x3A72	U+25FC6
0x3A79	U+25FFD
0x3B27	U+26095
0x3B2B	U+26165
0x3B2F	U+4356
0x3B33	U+7F8F
0x3B34	U+4367
0x3B3E	U+7FBD
0x3B44	U+264EF
0x3B45	U+264F0
0x3B49	U+8054
0x3B4C	U+265A4
0x3B52	U+43D3
0x3B56	U+4413
0x3B57	U+8184
0x3B63	U+4464
0x3B68	U+4473
0x3B6F	U+2B1E0
0x3B75	U+82D1
0x3B76	U+82F1
0x3B7A	U+26B8E
0x3B7B	U+837F
0x3C26	U+44C7
0x3C34	U+44E1
0x3C47	U+8559
0x3C4D	U+8533
0x3C57	U+858C
0x3C60	U+85E4
0x3C69	U+8650
0x3C6B	U+271D3
0x3C6C	U+271ED
0x3C74	U+8744
0x3C75	U+875D
0x3C78	U+87A9
0x3C7A	U+8801
0x3D29	U+2770F
0x3D2C	U+2B313
0x3D2E	U+277E8
0x3D2F	U+4674
0x3D31	U+467F
0x3D33	U+27862
0x3D37	U+278BD
0x3D38	U+46AC
0x3D39	U+46B4
0x3D3B	U+8A4E
0x3D3C	U+46D8
0x3D3D	U+27A39
0x3D40	U+8AED
0x3D43	U+46FF
0x3D44	U+27AB2
0x3D45	U+8B53
0x3D49	U+27B0A
0x3D4A	U+27B02
0x3D4D	U+27B30
0x3D51	U+4722
0x3D55	U+27BAF
0x3D58	U+27BC6
0x3D5A	U+8C59
0x3D5F	U+27D60
0x3D61	U+8CF2
0x3D64	U+8D18
0x3D66	U+27E9B
0x3D68	U+27FD4
0x3D6F	U+2810E
0x3D71	U+28215
0x3D76	U+4845
0x3D79	U+282C2
0x3D7D	U+8F1E
0x3E24	U+FA24
0x3E2D	U+9018
0x3E41	U+9099
0x3E46	U+90D2
0x3E48	U+90D1
0x3E49	U+48C5
0x3E4F	U+9123
0x3E53	U+2893D
0x3E54	U+2893F
0x3E5A	U+91FC
0x3E60	U+9238
0x3E63	U+2896D
0x3E68	U+92AE
0x3E6C	U+FA27
0x3E6D	U+92EE
0x3E6E	U+931A
0x3F21	U+FA28
0x3F42	U+9404
0x3F45	U+4957
0x3F49	U+28B4E
0x3F50	U+28B5A
0x3F51	U+943B
0x3F53	U+2B4D0
0x3F54	U+2B4D4
0x3F59	U+28C5B
0x3F5C	U+2B519
0x3F5D	U+28CDD
0x3F5E	U+28CDF
0x3F62	U+95D2
0x3F63	U+28DAE
0x3F68	U+28E5C
0x3F6A	U+28E7C
0x3F71	U+49E4
0x3F7C	U+29096
0x4027	U+9755
0x4028	U+9756
0x4029	U+9757
0x402E	U+4A64
0x4030	U+97D1
0x4034	U+9819
0x4036	U+29498
0x4039	U+294D9
0x4042	U+297AF
0x404A	U+298B5
0x4051	U+29949
0x4052	U+9A3A
0x4055	U+9A4E
0x4058	U+4BBE
0x4059	U+29A76
0x4061	U+29D70
0x4064	U+29DA3
0x4066	U+9BCE
0x406B	U+9BFD
0x406C	U+29E77
0x4070	U+29F68
0x4073	U+9D0C
0x4074	U+4CCC
0x407D	U+9EB0
0x4125	U+5164
0x4128	U+9F1B
0x4129	U+9F31
0x412A	U+2A56F
0x412C	U+9F8D
