# KPS 9566-2011? to Unicode mapping table
# From a built-in table in Red Star OS 3.0 desktop
# Text encoding: UTF-8

0x8247	U+AC55	# 걕
0x8248	U+AC57	# 걗
0x8249	U+AC59	# 걙
0x824A	U+AC5A	# 걚
0x824B	U+AC5B	# 걛
0x824C	U+AC5D	# 걝
0x824D	U+AC5E	# 걞
0x824E	U+AC5F	# 걟
0x824F	U+AC60	# 걠
0x8250	U+AC61	# 걡
0x8251	U+AC62	# 걢
0x8252	U+AC63	# 걣
0x8253	U+AC64	# 걤
0x8254	U+AC65	# 걥
0x8255	U+AC66	# 걦
0x8256	U+AC67	# 걧
0x8257	U+AC69	# 걩
0x8258	U+AC6A	# 걪
0x8259	U+AC6B	# 걫
0x825A	U+AC6C	# 걬
0x8261	U+AC6D	# 걭
0x8262	U+AC6E	# 걮
0x8263	U+AC6F	# 걯
0x8264	U+AC56	# 걖
0x8265	U+AC68	# 걨
0x8266	U+AC8F	# 겏
0x8267	U+AC91	# 겑
0x8268	U+AC92	# 겒
0x8269	U+AC93	# 겓
0x826A	U+AC95	# 겕
0x826B	U+AC96	# 겖
0x826C	U+AC97	# 겗
0x826D	U+AC98	# 겘
0x826E	U+AC99	# 겙
0x826F	U+AC9A	# 겚
0x8270	U+AC9B	# 겛
0x8271	U+AC9E	# 겞
0x8272	U+ACA2	# 겢
0x8273	U+ACA3	# 겣
0x8274	U+ACA4	# 겤
0x8275	U+ACA5	# 겥
0x8276	U+ACA6	# 겦
0x8277	U+ACA7	# 겧
0x8278	U+AC8E	# 겎
0x8279	U+ACC5	# 곅
0x827A	U+ACC7	# 곇
0x8281	U+ACC9	# 곉
0x8282	U+ACCA	# 곊
0x8283	U+ACCB	# 곋
0x8284	U+ACCD	# 곍
0x8285	U+ACCE	# 곎
0x8286	U+ACCF	# 곏
0x8287	U+ACD0	# 곐
0x8288	U+ACD1	# 곑
0x8289	U+ACD2	# 곒
0x828A	U+ACD3	# 곓
0x828B	U+ACD4	# 곔
0x828C	U+ACD6	# 곖
0x828D	U+ACD9	# 곙
0x828E	U+ACDA	# 곚
0x828F	U+ACDB	# 곛
0x8290	U+ACDC	# 곜
0x8291	U+ACDD	# 곝
0x8292	U+ACDE	# 곞
0x8293	U+ACDF	# 곟
0x8294	U+ACC6	# 곆
0x8295	U+ACD8	# 곘
0x8296	U+AD37	# 괷
0x8297	U+AD39	# 괹
0x8298	U+AD3A	# 괺
0x8299	U+AD3B	# 괻
0x829A	U+AD3D	# 괽
0x829B	U+AD3E	# 괾
0x829C	U+AD3F	# 괿
0x829D	U+AD40	# 굀
0x829E	U+AD41	# 굁
0x829F	U+AD42	# 굂
0x82A0	U+AD43	# 굃
0x82A1	U+AD46	# 굆
0x82A2	U+AD4A	# 굊
0x82A3	U+AD4B	# 굋
0x82A4	U+AD4C	# 굌
0x82A5	U+AD4D	# 굍
0x82A6	U+AD4E	# 굎
0x82A7	U+AD4F	# 굏
0x82A8	U+AD36	# 괶
0x82A9	U+ADC3	# 귃
0x82AA	U+ADC5	# 귅
0x82AB	U+ADC6	# 귆
0x82AC	U+ADC7	# 귇
0x82AD	U+ADC9	# 귉
0x82AE	U+ADCA	# 귊
0x82AF	U+ADCB	# 귋
0x82B0	U+ADCC	# 귌
0x82B1	U+ADCD	# 귍
0x82B2	U+ADCE	# 귎
0x82B3	U+ADCF	# 귏
0x82B4	U+ADD2	# 귒
0x82B5	U+ADD5	# 귕
0x82B6	U+ADD6	# 귖
0x82B7	U+ADD7	# 귗
0x82B8	U+ADD8	# 귘
0x82B9	U+ADD9	# 귙
0x82BA	U+ADDA	# 귚
0x82BB	U+ADDB	# 귛
0x82BC	U+ADC2	# 귂
0x82BD	U+ADD4	# 귔
0x82BE	U+AE15	# 긕
0x82BF	U+AE17	# 긗
0x82C0	U+AE18	# 긘
0x82C1	U+AE19	# 긙
0x82C2	U+AE1A	# 긚
0x82C3	U+AE1B	# 긛
0x82C4	U+AE1C	# 긜
0x82C5	U+AE1D	# 긝
0x82C6	U+AE1E	# 긞
0x82C7	U+AE1F	# 긟
0x82C8	U+AE20	# 긠
0x82C9	U+AE21	# 긡
0x82CA	U+AE22	# 긢
0x82CB	U+AE23	# 긣
0x82CC	U+AE24	# 긤
0x82CD	U+AE25	# 긥
0x82CE	U+AE26	# 긦
0x82CF	U+AE27	# 긧
0x82D0	U+AE29	# 긩
0x82D1	U+AE2A	# 긪
0x82D2	U+AE2B	# 긫
0x82D3	U+AE2C	# 긬
0x82D4	U+AE2D	# 긭
0x82D5	U+AE2E	# 긮
0x82D6	U+AE2F	# 긯
0x82D7	U+AE16	# 긖
0x82D8	U+AE28	# 긨
0x82D9	U+ACFF	# 곿
0x82DA	U+AD01	# 괁
0x82DB	U+AD02	# 괂
0x82DC	U+AD05	# 괅
0x82DD	U+AD07	# 괇
0x82DE	U+AD08	# 괈
0x82DF	U+AD09	# 괉
0x82E0	U+AD0A	# 괊
0x82E1	U+AD0B	# 괋
0x82E2	U+AD0E	# 괎
0x82E3	U+AD12	# 괒
0x82E4	U+AD13	# 괓
0x82E5	U+AD14	# 괔
0x82E6	U+AD15	# 괕
0x82E7	U+AD16	# 괖
0x82E8	U+AD17	# 괗
0x82E9	U+ACFE	# 곾
0x82EA	U+AD8B	# 궋
0x82EB	U+AD8D	# 궍
0x82EC	U+AD8E	# 궎
0x82ED	U+AD8F	# 궏
0x82EE	U+AD91	# 궑
0x82EF	U+AD92	# 궒
0x82F0	U+AD93	# 궓
0x82F1	U+AD94	# 궔
0x82F2	U+AD95	# 궕
0x82F3	U+AD96	# 궖
0x82F4	U+AD97	# 궗
0x82F5	U+AD99	# 궙
0x82F6	U+AD9A	# 궚
0x82F7	U+AD9B	# 궛
0x82F8	U+AD9E	# 궞
0x82F9	U+AD9F	# 궟
0x82FA	U+ADA0	# 궠
0x82FB	U+ADA1	# 궡
0x82FC	U+ADA2	# 궢
0x82FD	U+ADA3	# 궣
0x82FE	U+AD8A	# 궊
0x8341	U+AD1B	# 괛
0x8342	U+AD1D	# 괝
0x8343	U+AD1E	# 괞
0x8344	U+AD1F	# 괟
0x8345	U+AD21	# 괡
0x8346	U+AD22	# 괢
0x8347	U+AD23	# 괣
0x8348	U+AD24	# 괤
0x8349	U+AD25	# 괥
0x834A	U+AD26	# 괦
0x834B	U+AD27	# 괧
0x834C	U+AD28	# 괨
0x834D	U+AD2A	# 괪
0x834E	U+AD2B	# 괫
0x834F	U+AD2E	# 괮
0x8350	U+AD2F	# 괯
0x8351	U+AD30	# 괰
0x8352	U+AD31	# 괱
0x8353	U+AD32	# 괲
0x8354	U+AD33	# 괳
0x8355	U+AD1A	# 괚
0x8356	U+ADA7	# 궧
0x8357	U+ADA8	# 궨
0x8358	U+ADA9	# 궩
0x8359	U+ADAA	# 궪
0x835A	U+ADAB	# 궫
0x8361	U+ADAC	# 궬
0x8362	U+ADAD	# 궭
0x8363	U+ADAE	# 궮
0x8364	U+ADAF	# 궯
0x8365	U+ADB0	# 궰
0x8366	U+ADB1	# 궱
0x8367	U+ADB2	# 궲
0x8368	U+ADB3	# 궳
0x8369	U+ADB4	# 궴
0x836A	U+ADB5	# 궵
0x836B	U+ADB6	# 궶
0x836C	U+ADB9	# 궹
0x836D	U+ADBA	# 궺
0x836E	U+ADBB	# 궻
0x836F	U+ADBC	# 궼
0x8370	U+ADBD	# 궽
0x8371	U+ADBE	# 궾
0x8372	U+ADBF	# 궿
0x8373	U+ADA6	# 궦
0x8374	U+ADB8	# 궸
0x8375	U+B09D	# 낝
0x8376	U+B09E	# 낞
0x8377	U+B0A3	# 낣
0x8378	U+B0A4	# 낤
0x8379	U+B0A5	# 낥
0x837A	U+B0A6	# 낦
0x8381	U+B0A7	# 낧
0x8382	U+B0AA	# 낪
0x8383	U+B0B0	# 낰
0x8384	U+B0B2	# 낲
0x8385	U+B0D3	# 냓
0x8386	U+B0D5	# 냕
0x8387	U+B0D6	# 냖
0x8388	U+B0D7	# 냗
0x8389	U+B0D9	# 냙
0x838A	U+B0DA	# 냚
0x838B	U+B0DB	# 냛
0x838C	U+B0DC	# 냜
0x838D	U+B0DD	# 냝
0x838E	U+B0DE	# 냞
0x838F	U+B0DF	# 냟
0x8390	U+B0E2	# 냢
0x8391	U+B0E3	# 냣
0x8392	U+B0E6	# 냦
0x8393	U+B0E7	# 냧
0x8394	U+B0E8	# 냨
0x8395	U+B0E9	# 냩
0x8396	U+B0EA	# 냪
0x8397	U+B0EB	# 냫
0x8398	U+B0D2	# 냒
0x8399	U+B0E4	# 냤
0x839A	U+B10D	# 넍
0x839B	U+B10E	# 넎
0x839C	U+B10F	# 넏
0x839D	U+B111	# 넑
0x839E	U+B114	# 넔
0x839F	U+B115	# 넕
0x83A0	U+B116	# 넖
0x83A1	U+B117	# 넗
0x83A2	U+B11A	# 넚
0x83A3	U+B11E	# 넞
0x83A4	U+B11F	# 넟
0x83A5	U+B120	# 넠
0x83A6	U+B121	# 넡
0x83A7	U+B143	# 녃
0x83A8	U+B145	# 녅
0x83A9	U+B146	# 녆
0x83AA	U+B147	# 녇
0x83AB	U+B149	# 녉
0x83AC	U+B14A	# 녊
0x83AD	U+B14B	# 녋
0x83AE	U+B14C	# 녌
0x83AF	U+B14D	# 녍
0x83B0	U+B14E	# 녎
0x83B1	U+B14F	# 녏
0x83B2	U+B152	# 녒
0x83B3	U+B156	# 녖
0x83B4	U+B157	# 녗
0x83B5	U+B159	# 녙
0x83B6	U+B15A	# 녚
0x83B7	U+B15B	# 녛
0x83B8	U+B142	# 녂
0x83B9	U+B17B	# 녻
0x83BA	U+B17D	# 녽
0x83BB	U+B17E	# 녾
0x83BC	U+B17F	# 녿
0x83BD	U+B181	# 놁
0x83BE	U+B183	# 놃
0x83BF	U+B184	# 놄
0x83C0	U+B185	# 놅
0x83C1	U+B186	# 놆
0x83C2	U+B187	# 놇
0x83C3	U+B18A	# 놊
0x83C4	U+B18E	# 놎
0x83C5	U+B18F	# 놏
0x83C6	U+B190	# 놐
0x83C7	U+B191	# 놑
0x83C8	U+B17A	# 녺
0x83C9	U+B18C	# 놌
0x83CA	U+B1EB	# 뇫
0x83CB	U+B1ED	# 뇭
0x83CC	U+B1EE	# 뇮
0x83CD	U+B1EF	# 뇯
0x83CE	U+B1F1	# 뇱
0x83CF	U+B1F2	# 뇲
0x83D0	U+B1F3	# 뇳
0x83D1	U+B1F4	# 뇴
0x83D2	U+B1F5	# 뇵
0x83D3	U+B1F6	# 뇶
0x83D4	U+B1F7	# 뇷
0x83D5	U+B1FA	# 뇺
0x83D6	U+B1FE	# 뇾
0x83D7	U+B1FF	# 뇿
0x83D8	U+B200	# 눀
0x83D9	U+B201	# 눁
0x83DA	U+B202	# 눂
0x83DB	U+B203	# 눃
0x83DC	U+B1EA	# 뇪
0x83DD	U+B1FC	# 뇼
0x83DE	U+B207	# 눇
0x83DF	U+B209	# 눉
0x83E0	U+B20A	# 눊
0x83E1	U+B20D	# 눍
0x83E2	U+B20E	# 눎
0x83E3	U+B20F	# 눏
0x83E4	U+B210	# 눐
0x83E5	U+B211	# 눑
0x83E6	U+B212	# 눒
0x83E7	U+B213	# 눓
0x83E8	U+B216	# 눖
0x83E9	U+B21A	# 눚
0x83EA	U+B21B	# 눛
0x83EB	U+B21C	# 눜
0x83EC	U+B21D	# 눝
0x83ED	U+B21F	# 눟
0x83EE	U+B206	# 눆
0x83EF	U+B218	# 눘
0x83F0	U+B277	# 뉷
0x83F1	U+B279	# 뉹
0x83F2	U+B27A	# 뉺
0x83F3	U+B27B	# 뉻
0x83F4	U+B27D	# 뉽
0x83F5	U+B27E	# 뉾
0x83F6	U+B27F	# 뉿
0x83F7	U+B280	# 늀
0x83F8	U+B281	# 늁
0x83F9	U+B282	# 늂
0x83FA	U+B283	# 늃
0x83FB	U+B286	# 늆
0x83FC	U+B287	# 늇
0x83FD	U+B28A	# 늊
0x83FE	U+B28B	# 늋
0x8441	U+B28C	# 늌
0x8442	U+B28D	# 늍
0x8443	U+B28E	# 늎
0x8444	U+B28F	# 늏
0x8445	U+B276	# 뉶
0x8446	U+B288	# 늈
0x8447	U+B293	# 늓
0x8448	U+B295	# 늕
0x8449	U+B296	# 늖
0x844A	U+B297	# 늗
0x844B	U+B29B	# 늛
0x844C	U+B29C	# 늜
0x844D	U+B29D	# 늝
0x844E	U+B29E	# 늞
0x844F	U+B29F	# 늟
0x8450	U+B2A2	# 늢
0x8451	U+B2A7	# 늧
