02-29	0x223D	0xA2BD	U+2494	# ⒔
02-30	0x223E	0xA2BE	U+2495	# ⒕
02-31	0x223F	0xA2BF	U+2496	# ⒖
02-32	0x2240	0xA2C0	U+2497	# ⒗
02-33	0x2241	0xA2C1	U+2498	# ⒘
02-34	0x2242	0xA2C2	U+2499	# ⒙
02-35	0x2243	0xA2C3	U+249A	# ⒚
02-36	0x2244	0xA2C4	U+249B	# ⒛
02-37	0x2245	0xA2C5	U+2474	# ⑴
02-38	0x2246	0xA2C6	U+2475	# ⑵
02-39	0x2247	0xA2C7	U+2476	# ⑶
02-40	0x2248	0xA2C8	U+2477	# ⑷
02-41	0x2249	0xA2C9	U+2478	# ⑸
02-42	0x224A	0xA2CA	U+2479	# ⑹
02-43	0x224B	0xA2CB	U+247A	# ⑺
02-44	0x224C	0xA2CC	U+247B	# ⑻
02-45	0x224D	0xA2CD	U+247C	# ⑼
02-46	0x224E	0xA2CE	U+247D	# ⑽
02-47	0x224F	0xA2CF	U+247E	# ⑾
02-48	0x2250	0xA2D0	U+247F	# ⑿
02-49	0x2251	0xA2D1	U+2480	# ⒀
02-50	0x2252	0xA2D2	U+2481	# ⒁
02-51	0x2253	0xA2D3	U+2482	# ⒂
02-52	0x2254	0xA2D4	U+2483	# ⒃
02-53	0x2255	0xA2D5	U+2484	# ⒄
02-54	0x2256	0xA2D6	U+2485	# ⒅
02-55	0x2257	0xA2D7	U+2486	# ⒆
02-56	0x2258	0xA2D8	U+2487	# ⒇
02-57	0x2259	0xA2D9	U+2460	# ①
02-58	0x225A	0xA2DA	U+2461	# ②
02-59	0x225B	0xA2DB	U+2462	# ③
02-60	0x225C	0xA2DC	U+2463	# ④
02-61	0x225D	0xA2DD	U+2464	# ⑤
02-62	0x225E	0xA2DE	U+2465	# ⑥
02-63	0x225F	0xA2DF	U+2466	# ⑦
02-64	0x2260	0xA2E0	U+2467	# ⑧
02-65	0x2261	0xA2E1	U+2468	# ⑨
02-66	0x2262	0xA2E2	U+2469	# ⑩
02-69	0x2265	0xA2E5	U+3220	# ㈠
02-70	0x2266	0xA2E6	U+3221	# ㈡
02-71	0x2267	0xA2E7	U+3222	# ㈢
02-72	0x2268	0xA2E8	U+3223	# ㈣
02-73	0x2269	0xA2E9	U+3224	# ㈤
02-74	0x226A	0xA2EA	U+3225	# ㈥
02-75	0x226B	0xA2EB	U+3226	# ㈦
02-76	0x226C	0xA2EC	U+3227	# ㈧
02-77	0x226D	0xA2ED	U+3228	# ㈨
02-78	0x226E	0xA2EE	U+3229	# ㈩
02-81	0x2271	0xA2F1	U+2160	# Ⅰ
02-82	0x2272	0xA2F2	U+2161	# Ⅱ
02-83	0x2273	0xA2F3	U+2162	# Ⅲ
02-84	0x2274	0xA2F4	U+2163	# Ⅳ
02-85	0x2275	0xA2F5	U+2164	# Ⅴ
02-86	0x2276	0xA2F6	U+2165	# Ⅵ
02-87	0x2277	0xA2F7	U+2166	# Ⅶ
02-88	0x2278	0xA2F8	U+2167	# Ⅷ
02-89	0x2279	0xA2F9	U+2168	# Ⅸ
02-90	0x227A	0xA2FA	U+2169	# Ⅹ
02-91	0x227B	0xA2FB	U+216A	# Ⅺ
02-92	0x227C	0xA2FC	U+216B	# Ⅻ
03-01	0x2321	0xA3A1	U+FF01	# ！
03-02	0x2322	0xA3A2	U+FF02	# ＂
03-03	0x2323	0xA3A3	U+FF03	# ＃
03-04	0x2324	0xA3A4	U+FF04	# ＄
03-05	0x2325	0xA3A5	U+FF05	# ％
03-06	0x2326	0xA3A6	U+FF06	# ＆
03-07	0x2327	0xA3A7	U+FF07	# ＇
