Sun Jan 26 12:50:40 2020    stats.pstats

         14385086 function calls (14330813 primitive calls) in 116.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/rawfilter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_be.py:23(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_be.py:20(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/shift_jis_2004.py:24(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_le.py:23(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_kr.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:21(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/gb2312.py:16(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/euc_kr.py:20(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/User/Documents/Charset Related/ecma35lib/ecma35/decoder/ecma35docsfilter.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_le.py:20(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:97(StreamReader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/ast.py:229(NodeVisitor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/koi8_r.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp437.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_be.py:18(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/cp1252.py:21(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:21(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_le.py:13(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/iso8859_5.py:17(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_8_sig.py:85(StreamWriter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_16_le.py:22(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_le.py:17(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/encodings/utf_32_be.py:13(IncrementalEncoder)
