# Unicode equivalents for the list markers encoding which has portions included in various
#   variants of the ChinaSea Big-5 extension set.

0x91B9	U+F860+0038+0037	# 87
0x91BA	U+F860+0038+0038	# 88
0x91BB	U+F860+0038+0039	# 89
0x91BC	U+F860+0039+0030	# 90
0x91BD	U+F860+0039+0031	# 91
0x91BE	U+F860+0039+0032	# 92
0x91BF	U+F860+0039+0033	# 93
0x91C0	U+F860+0039+0034	# 94
0x91C1	U+F860+0039+0035	# 95
0x91C2	U+F860+0039+0036	# 96
0x91C3	U+F860+0039+0037	# 97
0x91C4	U+F860+0039+0038	# 98
0x91C5	U+F860+0039+0039	# 99
0x91C6	U+F861+0031+0030+0030	# 100
0x9740	U+24EA	# ⓪
0x9741	U+2460	# ①
0x9742	U+2461	# ②
0x9743	U+2462	# ③
0x9744	U+2463	# ④
0x9745	U+2464	# ⑤
0x9746	U+2465	# ⑥
0x9747	U+2466	# ⑦
0x9748	U+2467	# ⑧
0x9749	U+2468	# ⑨
0x974A	U+2469	# ⑩
0x974B	U+246A	# ⑪
0x974C	U+246B	# ⑫
0x974D	U+246C	# ⑬
0x974E	U+246D	# ⑭
0x974F	U+246E	# ⑮
0x9750	U+246F	# ⑯
0x9751	U+2470	# ⑰
0x9752	U+2471	# ⑱
0x9753	U+2472	# ⑲
0x9754	U+2473	# ⑳
0x9755	U+3251	# ㉑
0x9756	U+3252	# ㉒
0x9757	U+3253	# ㉓
0x9758	U+3254	# ㉔
0x9759	U+3255	# ㉕
0x975A	U+3256	# ㉖
0x975B	U+3257	# ㉗
0x975C	U+3258	# ㉘
0x975D	U+3259	# ㉙
0x975E	U+325A	# ㉚
0x975F	U+325B	# ㉛
0x9760	U+325C	# ㉜
0x9761	U+325D	# ㉝
0x9762	U+325E	# ㉞
0x9763	U+325F	# ㉟
0x9764	U+32B1	# ㊱
0x9765	U+32B2	# ㊲
0x9766	U+32B3	# ㊳
0x9767	U+32B4	# ㊴
0x9768	U+32B5	# ㊵
0x9769	U+32B6	# ㊶
0x976A	U+32B7	# ㊷
0x976B	U+32B8	# ㊸
0x976C	U+32B9	# ㊹
0x976D	U+32BA	# ㊺
0x976E	U+32BB	# ㊻
0x976F	U+32BC	# ㊼
0x9770	U+32BD	# ㊽
0x9771	U+32BE	# ㊾
0x9772	U+32BF	# ㊿
0x9773	U+F863+005B+0035+0031+005D	# [51]
0x9774	U+F863+005B+0035+0032+005D	# [52]
0x9775	U+F863+005B+0035+0033+005D	# [53]
0x9776	U+F863+005B+0035+0034+005D	# [54]
0x9777	U+F863+005B+0035+0035+005D	# [55]
0x9778	U+F863+005B+0035+0036+005D	# [56]
0x9779	U+F863+005B+0035+0037+005D	# [57]
0x977A	U+F863+005B+0035+0038+005D	# [58]
0x977B	U+F863+005B+0035+0039+005D	# [59]
0x977C	U+F863+005B+0036+0030+005D	# [60]
0x977D	U+F863+005B+0036+0031+005D	# [61]
0x977E	U+F863+005B+0036+0032+005D	# [62]
0x97A1	U+F863+005B+0036+0033+005D	# [63]
0x97A2	U+F863+005B+0036+0034+005D	# [64]
0x97A3	U+F863+005B+0036+0035+005D	# [65]
0x97A4	U+F863+005B+0036+0036+005D	# [66]
0x97A5	U+F863+005B+0036+0037+005D	# [67]
0x97A6	U+F863+005B+0036+0038+005D	# [68]
0x97A7	U+F863+005B+0036+0039+005D	# [69]
0x97A8	U+F863+005B+0037+0030+005D	# [70]
0x97A9	U+F863+005B+0037+0031+005D	# [71]
0x97AA	U+F863+005B+0037+0032+005D	# [72]
0x97AB	U+F863+005B+0037+0033+005D	# [73]
0x97AC	U+F863+005B+0037+0034+005D	# [74]
0x97AD	U+F863+005B+0037+0035+005D	# [75]
0x97AE	U+F863+005B+0037+0036+005D	# [76]
0x97AF	U+F863+005B+0037+0037+005D	# [77]
0x97B0	U+F863+005B+0037+0038+005D	# [78]
0x97B1	U+F863+005B+0037+0039+005D	# [79]
0x97B2	U+F863+005B+0038+0030+005D	# [80]
0x97B3	U+F863+005B+0038+0031+005D	# [81]
0x97B4	U+F863+005B+0038+0032+005D	# [82]
0x97B5	U+F863+005B+0038+0033+005D	# [83]
0x97B6	U+F863+005B+0038+0034+005D	# [84]
0x97B7	U+F863+005B+0038+0035+005D	# [85]
0x97B8	U+F863+005B+0038+0036+005D	# [86]
0x97B9	U+F863+005B+0038+0037+005D	# [87]
0x97BA	U+F863+005B+0038+0038+005D	# [88]
0x97BB	U+F863+005B+0038+0039+005D	# [89]
0x97BC	U+F863+005B+0039+0030+005D	# [90]
0x97BD	U+F863+005B+0039+0031+005D	# [91]
0x97BE	U+F863+005B+0039+0032+005D	# [92]
0x97BF	U+F863+005B+0039+0033+005D	# [93]
0x97C0	U+F863+005B+0039+0034+005D	# [94]
0x97C1	U+F863+005B+0039+0035+005D	# [95]
0x97C2	U+F863+005B+0039+0036+005D	# [96]
0x97C3	U+F863+005B+0039+0037+005D	# [97]
0x97C4	U+F863+005B+0039+0038+005D	# [98]
0x97C5	U+F863+005B+0039+0039+005D	# [99]
0x97C6	U+E8FA	# [100]
0x97C7	U+24B6	# Ⓐ
0x97C8	U+24B7	# Ⓑ
0x97C9	U+24B8	# Ⓒ
