# Unicode equivalents for the hanzi encoding which has portions included in various variants
#   of the ChinaSea Big-5 extension set, prioritising the 黑體 variant of the extensions in places
#   where different variants of the ChinaSea extensions use the same position for different hanzi.

0x8263	U+8B83	# 讃
0x8264	U+EF79	# <EF79>
0x8265	U+848B	# 蒋
0x8266	U+91A4	# 醤
0x8267	U+7A63	# 穣
0x8268	U+64B0	# 撰
0x8269	U+5DFD	# 巽
0x826A	U+5E96	# 庖
0x826B	U+8061	# 聡
0x826C	U+6955	# 楕
0x826D	U+7AEA	# 竪
0x826E	U+7026	# 瀦
0x826F	U+68BC	# 梼
0x8270	U+7977	# 祷
0x8271	U+6D9C	# 涜
0x8272	U+8FE9	# 迩
0x8273	U+7962	# 祢
0x8274	U+56A2	# 嚢
0x8275	U+877F	# 蝿
0x8276	U+5265	# 剥
0x8277	U+7984	# 禄
0x8278	U+6E8C	# 溌
0x8279	U+9197	# 醗
0x827A	U+7B86	# 箆
0x827B	U+982C	# 頬
0x827C	U+685D	# 桝
0x827D	U+4FAD	# 侭
0x827E	U+85AE	# 薮
0x82A1	U+7BED	# 篭
0x82A2	U+874B	# 蝋
0x82A3	U+5036	# 倶
0x82A4	U+690D	# 植
0x82A5	U+6B96	# 殖
0x82A6	U+614E	# 慎
0x82A7	U+5177	# 具
0x82A8	U+771F	# 真
0x82A9	U+5024	# 値
0x82AA	U+7F6E	# 置
0x82AB	U+76F4	# 直
0x82AC	U+69D9	# 槙
0x82AD	U+60E3	# 惣
0x82AE	U+62F6	# 拶
0x82AF	U+545F	# 呟
0x82B0	U+9784	# 鞄
0x82B1	U+564C	# 噌
0x82B2	U+50C5	# 僅
0x82B3	U+5618	# 嘘
0x82B4	U+865E	# 虞
0x82B5	U+5932	# 夲
0x82B6	U+595B	# 奛
0x82B7	U+595D	# 奝
0x82B8	U+5963	# 奣
0x82B9	U+596C	# 奬
0x82BA	U+599B	# 妛
0x82BB	U+59D7	# 姗
0x82BC	U+59EB	# 姫
0x82BD	U+5A1A	# 娚
0x82BE	U+5AAA	# 媪
0x82BF	U+5AD0	# 嫐
0x82C0	U+5AF1	# 嫱
0x82C1	U+5B36	# 嬶
0x82C2	U+5BC9	# 寉
0x82C3	U+5BF3	# 寳
0x82C4	U+5C13	# 尓
0x82C5	U+5C1C	# 尜
0x82C6	U+5C1E	# 尞
0x82C7	U+5C53	# 屓
0x82C8	U+5C99	# 岙
0x82C9	U+5C9C	# 岜
0x82CA	U+5CBA	# 岺
0x82CB	U+5CBB	# 岻
0x82CC	U+5CC1	# 峁
0x82CD	U+5CF5	# 峵
0x82CE	U+5CFA	# 峺
0x82CF	U+5D15	# 崕
0x82D0	U+5D18	# 崘
0x82D1	U+5D3E	# 崾
0x82D2	U+5D53	# 嵓
0x82D3	U+5D5C	# 嵜
0x82D4	U+5D6D	# 嵭
0x82D5	U+5D73	# 嵳
0x82D6	U+5D74	# 嵴
0x82D7	U+5D8C	# 嶌
0x82D8	U+5D90	# 嶐
0x82D9	U+5DB9	# 嶹
0x82DA	U+5DD0	# 巐
0x82DB	U+5DD3	# 巓
0x82DC	U+5E47	# 幇
0x82DD	U+5E64	# 幤
0x82DE	U+5ECF	# 廏
0x82DF	U+5ED0	# 廐
0x82E0	U+5EEA	# 廪
0x82E1	U+5EF0	# 廰
0x82E2	U+5F09	# 弉
0x82E3	U+5F0C	# 弌
0x82E4	U+5F11	# 弑
0x82E5	U+5F21	# 弡
0x82E6	U+5F34	# 弴
0x82E7	U+5F41	# 彁
0x82E8	U+5F45	# 彅
0x82E9	U+5F51	# 彑
0x82EA	U+5F5C	# 彜
0x82EB	U+5F66	# 彦
0x82EC	U+5F83	# 徃
0x82ED	U+5FF0	# 忰
0x82EE	U+604A	# 恊
0x82EF	U+6060	# 恠
0x82F0	U+608B	# 悋
0x82F1	U+60A6	# 悦
0x82F2	U+60DE	# 惞
0x82F3	U+6111	# 愑
0x82F4	U+6120	# 愠
0x82F5	U+6121	# 愡
0x82F6	U+613C	# 愼
0x82F7	U+613D	# 愽
0x82F8	U+6198	# 憘
0x82F9	U+61B7	# 憷
0x82FA	U+61F4	# 懴
0x82FB	U+6213	# 戓
0x82FC	U+621D	# 戝
0x82FD	U+621E	# 戞
0x82FE	U+6237	# 户
0x8340	U+5E7A	# 幺
0x8341	U+6C10	# 氐
0x8342	U+53CE	# 収
0x8343	U+4F2B	# 伫
0x8344	U+4F4E	# 低
0x8345	U+5434	# 吴
0x8346	U+56F1	# 囱
0x8347	U+58EE	# 壮
0x8348	U+5939	# 夹
0x8349	U+5986	# 妆
0x834A	U+5C2C	# 尬
0x834B	U+51B3	# 决
0x834C	U+51B2	# 冲
0x834D	U+707E	# 灾
0x834E	U+89C1	# 见
0x834F	U+89D2	# 角
0x8350	U+8D1D	# 贝
0x8351	U+8F66	# 车
0x8352	U+4E9A	# 亚
0x8353	U+6765	# 来
0x8354	U+4ED1	# 仑
0x8355	U+4E24	# 两
0x8356	U+534F	# 协
0x8357	U+5C4A	# 届
0x8358	U+5188	# 冈
0x8359	U+5E95	# 底
0x835A	U+62B5	# 抵
0x835B	U+4E1C	# 东
0x835C	U+4E89	# 争
0x835D	U+72B6	# 状
0x835E	U+7C7C	# 籼
0x835F	U+7EA0	# 纠
0x8360	U+5367	# 卧
0x8361	U+8F67	# 轧
0x8362	U+90B8	# 邸
0x8363	U+957F	# 长
0x8364	U+95E8	# 门
0x8365	U+4FA0	# 侠
0x8366	U+4FA3	# 侣
0x8367	U+5156	# 兖
0x8368	U+5219	# 则
0x8369	U+52B2	# 劲
0x836A	U+5374	# 却
0x836B	U+5942	# 奂
0x836C	U+5E05	# 帅
0x836D	U+67E2	# 柢
0x836E	U+6C79	# 汹
0x836F	U+4E3A	# 为
0x8370	U+7EA3	# 纣
0x8371	U+7EA2	# 红
0x8372	U+7EAA	# 纪
0x8373	U+7EAB	# 纫
0x8374	U+7EA5	# 纥
0x8375	U+7EA6	# 约
0x8376	U+7EA1	# 纡
0x8377	U+80DD	# 胝
0x8378	U+82CE	# 苎
0x8379	U+8BA1	# 计
0x837A	U+8BA2	# 订
0x837B	U+8BA3	# 讣
0x837C	U+8D1E	# 贞
0x837D	U+8D1F	# 负
0x837E	U+519B	# 军
0x83A1	U+8F68	# 轨
0x83A2	U+95E9	# 闩
0x83A3	U+97E6	# 韦
0x83A4	U+9875	# 页
0x83A5	U+98CE	# 风
0x83A6	U+98DE	# 飞
0x83A7	U+4FE9	# 俩
0x83A8	U+4EEC	# 们
0x83A9	U+4F25	# 伥
0x83AA	U+4E2A	# 个
0x83AB	U+4F26	# 伦
0x83AC	U+4ED3	# 仓
0x83AD	U+51BB	# 冻
0x83AE	U+521A	# 刚
0x83AF	U+5265	# 剥
0x83B0	U+5458	# 员
0x83B1	U+5A31	# 娱
0x83B2	U+5B59	# 孙
0x83B3	U+5CE1	# 峡
0x83B4	U+5C9B	# 岛
0x83B5	U+5C98	# 岘
0x83B6	U+5E08	# 师
0x83B7	U+5E93	# 库
