0x6F4969	U+AD3C	# HANGUL SYLLABLE GOEL
0x6F496A	U+AD44	# HANGUL SYLLABLE GOEM
0x6F496B	U+AD45	# HANGUL SYLLABLE GOEB
0x6F496C	U+AD49	# HANGUL SYLLABLE GOENG
0x6F496D	U+AD50	# HANGUL SYLLABLE GYO
0x6F496E	U+AD6C	# HANGUL SYLLABLE GU
0x6F496F	U+AD6D	# HANGUL SYLLABLE GUG
0x6F4970	U+AD70	# HANGUL SYLLABLE GUN
0x6F4971	U+AD73	# HANGUL SYLLABLE GUD
0x6F4972	U+AD74	# HANGUL SYLLABLE GUL
0x6F4973	U+AD75	# HANGUL SYLLABLE GULG
0x6F4974	U+AD76	# HANGUL SYLLABLE GULM
0x6F4975	U+AD7C	# HANGUL SYLLABLE GUM
0x6F4976	U+AD7D	# HANGUL SYLLABLE GUB
0x6F4977	U+AD7F	# HANGUL SYLLABLE GUS
0x6F4978	U+AD81	# HANGUL SYLLABLE GUNG
0x6F4979	U+AD82	# HANGUL SYLLABLE GUJ
0x6F497A	U+AD88	# HANGUL SYLLABLE GWEO
0x6F497B	U+AD8C	# HANGUL SYLLABLE GWEON
0x6F497C	U+AD90	# HANGUL SYLLABLE GWEOL
0x6F497D	U+AD9C	# HANGUL SYLLABLE GWEOSS
0x6F497E	U+ADA4	# HANGUL SYLLABLE GWE
0x6F4A21	U+ADB7	# HANGUL SYLLABLE GWES
0x6F4A22	U+ADC0	# HANGUL SYLLABLE GWI
0x6F4A23	U+ADC4	# HANGUL SYLLABLE GWIN
0x6F4A24	U+ADC8	# HANGUL SYLLABLE GWIL
0x6F4A25	U+ADD0	# HANGUL SYLLABLE GWIM
0x6F4A26	U+ADD1	# HANGUL SYLLABLE GWIB
0x6F4A27	U+ADD3	# HANGUL SYLLABLE GWIS
0x6F4A28	U+ADDC	# HANGUL SYLLABLE GYU
0x6F4A29	U+ADE0	# HANGUL SYLLABLE GYUN
0x6F4A2A	U+ADE4	# HANGUL SYLLABLE GYUL
