# Mapping for the PostScript variant of MacJapanese.
#
# For purposes of interoperability with Apple software, the below mapping is intended to match the
# output produced by Apple's own libraries when either PostScript variant of MacJapanese is
# converted. Not having access to the original Classic Mac equipment or printers, I cannot vouch
# for its historicity.
#
# This shows in general a greater affinity to NEC-C-6226 than to normal MacJapanese, but it has
# Apple-style vertical forms (including those of the NEC square Katakana abbreviations) in place of
# the NEC-selected IBM extensions, and also omits the halfwidth NEC extensions (and the Heisei era
# monogram, which presumably wouldn't have been included in NEC kit produced in the Shouwa era
# anyway, hence also its allocation separate from the other three in NEC-C-6226 / Windows-31J).
#
0xA4	U+ff64	# 10/4, HALFWIDTH IDEOGRAPHIC COMMA
0xA5	U+ff65	# 10/5, HALFWIDTH KATAKANA MIDDLE DOT
0xA6	U+ff66	# 10/6, HALFWIDTH KATAKANA LETTER WO
0xA7	U+ff67	# 10/7, HALFWIDTH KATAKANA LETTER SMALL A
0xA8	U+ff68	# 10/8, HALFWIDTH KATAKANA LETTER SMALL I
0xA9	U+ff69	# 10/9, HALFWIDTH KATAKANA LETTER SMALL U
0xAA	U+ff6a	# 10/10, HALFWIDTH KATAKANA LETTER SMALL E
0xAB	U+ff6b	# 10/11, HALFWIDTH KATAKANA LETTER SMALL O
0xAC	U+ff6c	# 10/12, HALFWIDTH KATAKANA LETTER SMALL YA
0xAD	U+ff6d	# 10/13, HALFWIDTH KATAKANA LETTER SMALL YU
0xAE	U+ff6e	# 10/14, HALFWIDTH KATAKANA LETTER SMALL YO
0xAF	U+ff6f	# 10/15, HALFWIDTH KATAKANA LETTER SMALL TU
0xB0	U+ff70	# 11/0, HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xB1	U+ff71	# 11/1, HALFWIDTH KATAKANA LETTER A
0xB2	U+ff72	# 11/2, HALFWIDTH KATAKANA LETTER I
0xB3	U+ff73	# 11/3, HALFWIDTH KATAKANA LETTER U
0xB4	U+ff74	# 11/4, HALFWIDTH KATAKANA LETTER E
0xB5	U+ff75	# 11/5, HALFWIDTH KATAKANA LETTER O
0xB6	U+ff76	# 11/6, HALFWIDTH KATAKANA LETTER KA
0xB7	U+ff77	# 11/7, HALFWIDTH KATAKANA LETTER KI
0xB8	U+ff78	# 11/8, HALFWIDTH KATAKANA LETTER KU
0xB9	U+ff79	# 11/9, HALFWIDTH KATAKANA LETTER KE
0xBA	U+ff7a	# 11/10, HALFWIDTH KATAKANA LETTER KO
