0xED9F	U+26cc	# 90-1, CROSSING LANES
0xEFC3	U+1f114	# 94-37, PARENTHESIZED LATIN CAPITAL LETTER E
0xEFC4	U+1f115	# 94-38, PARENTHESIZED LATIN CAPITAL LETTER F
0xEFC5	U+1f116	# 94-39, PARENTHESIZED LATIN CAPITAL LETTER G
0xEFC6	U+1f117	# 94-40, PARENTHESIZED LATIN CAPITAL LETTER H
0xEFC7	U+1f118	# 94-41, PARENTHESIZED LATIN CAPITAL LETTER I
0xEFC8	U+1f119	# 94-42, PARENTHESIZED LATIN CAPITAL LETTER J
0xEFC9	U+1f11a	# 94-43, PARENTHESIZED LATIN CAPITAL LETTER K
0xEFCA	U+1f11b	# 94-44, PARENTHESIZED LATIN CAPITAL LETTER L
0xEFCB	U+1f11c	# 94-45, PARENTHESIZED LATIN CAPITAL LETTER M
0xEFCC	U+1f11d	# 94-46, PARENTHESIZED LATIN CAPITAL LETTER N
0xEFCD	U+1f11e	# 94-47, PARENTHESIZED LATIN CAPITAL LETTER O
0xEFCE	U+1f11f	# 94-48, PARENTHESIZED LATIN CAPITAL LETTER P
0xEFCF	U+1f120	# 94-49, PARENTHESIZED LATIN CAPITAL LETTER Q
0xEFD0	U+1f121	# 94-50, PARENTHESIZED LATIN CAPITAL LETTER R
0xEFD1	U+1f122	# 94-51, PARENTHESIZED LATIN CAPITAL LETTER S
0xEFD2	U+1f123	# 94-52, PARENTHESIZED LATIN CAPITAL LETTER T
0xEFD3	U+1f124	# 94-53, PARENTHESIZED LATIN CAPITAL LETTER U
0xEFD4	U+1f125	# 94-54, PARENTHESIZED LATIN CAPITAL LETTER V
0xEFD5	U+1f126	# 94-55, PARENTHESIZED LATIN CAPITAL LETTER W
0xEFD6	U+1f127	# 94-56, PARENTHESIZED LATIN CAPITAL LETTER X
0xEFD7	U+1f128	# 94-57, PARENTHESIZED LATIN CAPITAL LETTER Y
0xEFD8	U+1f129	# 94-58, PARENTHESIZED LATIN CAPITAL LETTER Z
0xEFD9	U+3255	# 94-59, CIRCLED NUMBER TWENTY FIVE
0xEFDA	U+3256	# 94-60, CIRCLED NUMBER TWENTY SIX
0xEFDB	U+3257	# 94-61, CIRCLED NUMBER TWENTY SEVEN
0xEFDC	U+3258	# 94-62, CIRCLED NUMBER TWENTY EIGHT
0xEFDD	U+3259	# 94-63, CIRCLED NUMBER TWENTY NINE
0xEFDE	U+325a	# 94-64, CIRCLED NUMBER THIRTY
0xEFDF	U+2460	# 94-65, CIRCLED DIGIT ONE
0xEFE0	U+2461	# 94-66, CIRCLED DIGIT TWO
0xEFE1	U+2462	# 94-67, CIRCLED DIGIT THREE
0xEFE2	U+2463	# 94-68, CIRCLED DIGIT FOUR
0xEFE3	U+2464	# 94-69, CIRCLED DIGIT FIVE
0xEFE4	U+2465	# 94-70, CIRCLED DIGIT SIX
0xEFE5	U+2466	# 94-71, CIRCLED DIGIT SEVEN
0xEFE6	U+2467	# 94-72, CIRCLED DIGIT EIGHT
0xEFE7	U+2468	# 94-73, CIRCLED DIGIT NINE
0xEFE8	U+2469	# 94-74, CIRCLED NUMBER TEN
0xEFE9	U+246a	# 94-75, CIRCLED NUMBER ELEVEN
0xEFEA	U+246b	# 94-76, CIRCLED NUMBER TWELVE
0xEFEB	U+246c	# 94-77, CIRCLED NUMBER THIRTEEN
0xEFEC	U+246d	# 94-78, CIRCLED NUMBER FOURTEEN
0xEFED	U+246e	# 94-79, CIRCLED NUMBER FIFTEEN
0xEFEE	U+246f	# 94-80, CIRCLED NUMBER SIXTEEN
0xEFEF	U+2776	# 94-81, DINGBAT NEGATIVE CIRCLED DIGIT ONE
0xEFF0	U+2777	# 94-82, DINGBAT NEGATIVE CIRCLED DIGIT TWO
0xEFF1	U+2778	# 94-83, DINGBAT NEGATIVE CIRCLED DIGIT THREE
0xEFF2	U+2779	# 94-84, DINGBAT NEGATIVE CIRCLED DIGIT FOUR
0xEFF3	U+277a	# 94-85, DINGBAT NEGATIVE CIRCLED DIGIT FIVE
0xEFF4	U+277b	# 94-86, DINGBAT NEGATIVE CIRCLED DIGIT SIX
0xEFF5	U+277c	# 94-87, DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
0xEFF6	U+277d	# 94-88, DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
0xEFF7	U+277e	# 94-89, DINGBAT NEGATIVE CIRCLED DIGIT NINE
0xEFF8	U+277f	# 94-90, DINGBAT NEGATIVE CIRCLED NUMBER TEN
0xEFF9	U+24eb	# 94-91, NEGATIVE CIRCLED NUMBER ELEVEN
0xEFFA	U+24ec	# 94-92, NEGATIVE CIRCLED NUMBER TWELVE
0xEFFB	U+325b	# 94-93, CIRCLED NUMBER THIRTY ONE
