# Mapping for the non-Kanji, non-Hangul part of the Chinese Character Code for Information
#   Interchange (CCCII), otherwise known as the East Asian Character Code (EACC).
#   Those plane 73 mappings which can just be passed through to a JIS X 0208 table are omitted.
#   (I am aware that the non-Kanji part includes duplicates of certain Kanji.)
#
# Sources consulted (and referenced below):
#   Koha Taiwan supplied Encode::HanExtra mappings:
#     https://metacpan.org/source/AUDREYT/Encode-HanExtra-0.23
#   Library of Congress mappings:
#     http://memory.loc.gov/diglib/codetables/eacc2uni.txt
#   Hong Kong University mappings:
#     http://hkiug-archive.lib.hku.hk/unicode/hkiug_cjk_codetable-1.0.5.html
#   BDF font distributed by Yasuoka-san:
#     http://kanji.zinbun.kyoto-u.ac.jp/~yasuoka/ftp/fonts/cccii64.bdf.Z
#   Ken Lunde's CJK Information Processing (O'Reilly), 2009 ed. (though this did not contribute
#     mapping information in any way)

# Mathematical part. Excluded entirely by the Library of Congress subset. The Hong Kong University
#   variant includes an entirely different layout in this row instead. I am deviating from the
#   Koha Taiwan supplied Encode::HanExtra mappings by using a different mapping of the angle
#   bracket characters, thus de-duplicating them from the JIS angle brackets in plane 73, which are
#   favoured by the other mappings. I am also adding mappings for the characters omitted by the 
#   Koha mapping.
0x212340	U+FE6B	# SMALL COMMERCIAL AT
0x212341	U+FF21	# FULLWIDTH LATIN CAPITAL LETTER A
0x212342	U+FF22	# FULLWIDTH LATIN CAPITAL LETTER B
0x212343	U+FF23	# FULLWIDTH LATIN CAPITAL LETTER C
0x212344	U+FF24	# FULLWIDTH LATIN CAPITAL LETTER D
0x212345	U+FF25	# FULLWIDTH LATIN CAPITAL LETTER E
0x212346	U+FF26	# FULLWIDTH LATIN CAPITAL LETTER F
0x212347	U+FF27	# FULLWIDTH LATIN CAPITAL LETTER G
0x212348	U+FF28	# FULLWIDTH LATIN CAPITAL LETTER H
0x212349	U+FF29	# FULLWIDTH LATIN CAPITAL LETTER I
0x21234A	U+FF2A	# FULLWIDTH LATIN CAPITAL LETTER J
0x21234B	U+FF2B	# FULLWIDTH LATIN CAPITAL LETTER K
0x21234C	U+FF2C	# FULLWIDTH LATIN CAPITAL LETTER L
0x21234D	U+FF2D	# FULLWIDTH LATIN CAPITAL LETTER M
0x21234E	U+FF2E	# FULLWIDTH LATIN CAPITAL LETTER N
0x21234F	U+FF2F	# FULLWIDTH LATIN CAPITAL LETTER O
0x212350	U+FF30	# FULLWIDTH LATIN CAPITAL LETTER P
0x212351	U+FF31	# FULLWIDTH LATIN CAPITAL LETTER Q
0x212352	U+FF32	# FULLWIDTH LATIN CAPITAL LETTER R
0x212353	U+FF33	# FULLWIDTH LATIN CAPITAL LETTER S
0x212354	U+FF34	# FULLWIDTH LATIN CAPITAL LETTER T
0x212355	U+FF35	# FULLWIDTH LATIN CAPITAL LETTER U
0x212356	U+FF36	# FULLWIDTH LATIN CAPITAL LETTER V
0x212357	U+FF37	# FULLWIDTH LATIN CAPITAL LETTER W
0x212358	U+FF38	# FULLWIDTH LATIN CAPITAL LETTER X
0x212359	U+FF39	# FULLWIDTH LATIN CAPITAL LETTER Y
0x21235A	U+FF3A	# FULLWIDTH LATIN CAPITAL LETTER Z
0x21235B	U+FE5D	# SMALL LEFT TORTOISE SHELL BRACKET
0x21235C	U+FF3C	# FULLWIDTH REVERSE SOLIDUS
0x21235D	U+FE5E	# SMALL RIGHT TORTOISE SHELL BRACKET
0x21235E	U+2191	# UPWARDS ARROW
0x21235F	U+02CD	# MODIFIER LETTER LOW MACRON # x-ref Big5: www.cns11643.gov.tw/wordView.jsp?ID=74278
0x212360	U+FF40	# FULLWIDTH GRAVE ACCENT
0x212361	U+FF41	# FULLWIDTH LATIN SMALL LETTER A
0x212362	U+FF42	# FULLWIDTH LATIN SMALL LETTER B
0x212363	U+FF43	# FULLWIDTH LATIN SMALL LETTER C
0x212364	U+FF44	# FULLWIDTH LATIN SMALL LETTER D
