0x3143	U+24D18+F87F
0x3342	U+3563+F87F
0x3434	U+82C5+F87F
0x3557	U+5725+F87F
0x3951	U+20E9B+F87F
0x3A27	U+2207C+F87F
0x3A2C	U+2207C+F87F
0x3F27	U+74D5+F87F
0x4168	U+2981D+F87F
0x425C	U+746C+E0102
0x5644	U+3659+F87F
0x5D78	U+61C9+F87F
0x5F37	U+7A1B+F87F
0x6229	U+8703+F87F
0x6568	U+276DB+F87F
0x6F61	U+90C8+F87F
0x7967	U+29AC0+F87F
