# Conversion from recent-IRG-working-set G-sources which don't reference a coded character set,
#   to more traditional ones which do.
GCA-I0007 G2-7326
GDM-00242 GSJT-414F
GDM-00248 GSJT-3E56
GDM-00252 GSJT-3A7C
GDM-00253 GSJT-3A4E
GDM-00255 GSJT-484D
GDM-00256 GSJT-4A21
GDM-00257 GSJT-4A23
GDM-00258 GSJT-444A
GDM-00259 GSJT-4478
GDM-00260 GSJT-445F
GDM-00261 GSJT-4452
GDM-00262 GSJT-4542
GDM-00263 GSJT-446A
GDM-00264 GSJT-4564
GDM-00265 GSJT-4439
GDM-00266 GSJT-453C
GDM-00267 GSJT-4428
GDM-00269 GSJT-392C
GDM-00270 GSJT-3876
GDM-00272 GSJT-4623
GDM-00273 GSJT-337D
GDM-00274 GSJT-356A
GDM-00275 GSJT-3450
GDM-00278 GSJT-3567
GDM-00279 GSJT-357A
GDM-00280 GSJT-365D
GDM-00282 GSJT-3657
GDM-00283 GSJT-374B
GDM-00284 GSJT-372F
GDM-00285 GSJT-3550
GDM-00287 GSJT-3658
GDM-00288 GSJT-3330
GDM-00289 GSJT-366A
GDM-00290 GSJT-3331
GDM-00291 GSJT-3548
GDM-00292 GSJT-352A
GDM-00293 GSJT-3743
GDM-00294 GSJT-4032
GDM-00295 GSJT-4778
GDM-00300 GSJT-4A48
GDM-00301 GSJT-4A45
GDM-00302 GSJT-4A46
GDM-00306 GSJT-3869
GDM-00307 GSJT-3168
GDM-00308 GSJT-353B
GDM-00309 GSJT-3E7B
GDM-00310 GSJT-3E7C
GDM-00312 GSJT-3F24
GDM-00313 GSJT-3F2A
GDM-00314 GSJT-3030
GDM-00315 GSJT-303C
GDM-00317 GSJT-3851
GDM-00318 GSJT-385A
GDM-00320 GSJT-382D
GDM-00322 GSJT-383D
GDM-00323 GSJT-3859
GDM-00326 GSJT-3865
GDM-00328 GSJT-395B
GDM-00329 GSJT-3662
GDM-00331 GSJT-3556
GDM-00334 GSJT-4266
GDM-00335 GSJT-395A
GDM-00338 GSJT-4677
GDM-00339 GSJT-3B34
GDM-00340 GSJT-3B73
GDM-00341 GSJT-3B27
GDM-00345 GSJT-4448
GDM-00346 GSJT-354B
GDM-00347 GSJT-4374
GDM-00348 GSJT-4375
GDM-00353 GSJT-4A38
GDM-00354 GSJT-4A36
GDM-00355 GSJT-4A35
GDM-00356 GSJT-307A
GDM-00359 GSJT-4870
GDM-00360 GSJT-4927
GDM-00362 GSJT-3C4A
GDM-00364 GSJT-3A3A
GDM-00365 GSJT-3A34
GDM-00366 GSJT-3D39
GDM-00367 GSJT-3D46
GDM-00368 GSJT-3D50
GDM-00369 GSJT-3D4F
GDM-00370 GSJT-3D49
GDM-00371 GSJT-3D56
GDM-00374 GSJT-305B
GDM-00376 GSJT-306D
GDM-00378 GSJT-3162
GDM-00380 GSJT-312D
GDM-00381 GSJT-3134
GDM-00389 GSJT-3530
GDM-00390 GSJT-3661
GDM-00394 GSJT-3873
GDM-00398 GSJT-3A62
GDM-00399 G2-384E
GDM-00413 GSJT-4254
GDM-00415 G4-497B
GDM-00415 GSJT-424E
GDM-00418 GSJT-3127
GDM-00421 GSJT-4378
GDM-00427 GSJT-3E77
GDM-00430 GSJT-4260
GDM-00431 G4-417C
GDM-00433 GSJT-4636
GDM-00435 GSJT-457A
GDM-00436 GSJT-465F
GDM-00437 GSJT-442A
GDM-00438 GSJT-4444
GDM-00443 GSJT-4534
GDM-00444 GSJT-454D
GDM-00454 GSJT-486F
GDM-00456 G4-6B63
GDM-00459 GSJT-4027
GDM-00461 GSJT-4849
GDM-00462 GSJT-4950
GDM-00465 GSJT-4338
GDM-00469 GSJT-4838
GDM-00479 GSJT-3D37
GDM-00482 GSJT-4A30
GDM-00485 GSJT-3038
GDM-00493 GSJT-4A4C
GDM-00494 GSJT-4A4B
GDM-00495 GSJT-4A4D
GDM-00498 GSJT-496A
GDM-00503 GSJT-4733
GDM-00505 GSJT-4578
GDM-00506 GSJT-3B75
GDM-00510 GSJT-3F76
GKJ-00538 GSJT-3C5C
GKJ-00613 GSJT-3C5D
GKJ-00794 GSJT-4771
GKJ-00810 GSJT-467D
GKJ-01020 GSJT-4776
GXM-00462 G4-612C
GZ-2501206 G4-3856
GZA-430292 G4-4366

