# CNS 11643 plane 19 (corresponding to the IRG/Unihan source prefix "T13-").
# This file includes both those listed as IRG sources in the Unihan database, and also those
#   withdrawn from IRG working sets as unifiable with existing characters.
#
0x2E5A	U+7656
0x2E5B	U+30905
0x2E5C	U+30907
0x2E5D	U+30906
0x2E5E	U+3090A
0x2E5F	U+3090C
0x2E60	U+7678
0x2E61	U+3090E
0x2E62	U+3090F
0x2E63	U+30910
0x2E64	U+30911
0x2E65	U+30914
0x2E66	U+7687
0x2E67	U+2690D
0x2E68	U+3091B
0x2E69	U+3091A
0x2E6A	U+26918
0x2E6B	U+30921
0x2E6C	U+30920
0x2E6D	U+30927
0x2E6E	U+30924
0x2E6F	U+3092A
0x2E70	U+3092D
0x2E71	U+3092E
0x2E72	U+30933
0x2E73	U+30934
0x2E77	U+2505E
0x2E78	U+30937
0x2E79	U+30938
0x2E7A	U+76DB
0x2E7B	U+2DB93
0x2E7C	U+3093C
0x2E7D	U+3093E
0x2E7E	U+30940
0x2F21	U+3094D
0x2F22	U+3094E
0x2F23	U+76F2
0x2F24	U+30950
0x2F25	U+30953
0x2F26	U+76F4
0x2F27	U+30951
0x2F28	U+30956
0x2F29	U+30959
0x2F2A	U+3095A
0x2F2B	U+3095C
0x2F2C	U+771F
0x2F2D	U+30961
0x2F2E	U+771F
0x2F2F	U+30965
0x2F30	U+30972
0x2F31	U+7764
0x2F32	U+30977
0x2F33	U+7791
0x2F34	U+2524F
0x2F35	U+3097C
0x2F36	U+3097E
0x2F37	U+77BD
0x2F38	U+77C7
0x2F39	U+30989
0x2F3A	U+3098D
0x2F3B	U+3098E
0x2F3C	U+3098F
0x2F3D	U+30992
0x2F3F	U+30999
0x2F40	U+3099A
0x2F41	U+3099D
0x2F42	U+309A0
0x2F43	U+309A7
0x2F44	U+782D
0x2F45	U+309AE
0x2F46	U+309BB
0x2F47	U+309B8
0x2F48	U+309C0
0x2F49	U+788E
0x2F4A	U+78DA
0x2F4B	U+309CB
0x2F4C	U+309E1
0x2F4D	U+309EE
0x2F4E	U+309EF
0x2F50	U+309F4
0x2F51	U+7950
0x2F52	U+309F5
0x2F53	U+2E075
0x2F54	U+309F8
0x2F55	U+309FC
0x2F56	U+795E
