# Unicode mappings for the extensions on top of Big5-HKSCS as implemented by the Sakura font.

0x837B U+68BA
0x837D U+6928
0x83A1 U+6923
0x83A2 U+6921
0x83A3 U+697E
0x83A4 U+6981
0x83A5 U+69DD
0x83A6 U+6A2E
0x83A7 U+6A72
0x83A8 U+6B1F
0x83A9 U+6BDF
0x83AB U+7195
0x83B2 U+7569
0x83B4 U+7874
0x83B5 U+7ACD
0x83B7 U+7AD5
0x83B9 U+7AE1
0x83BA U+7AF0
0x83BB U+7B02
0x83BC U+7C13
0x83BD U+7C17
0x83BE U+7C90
0x83BF U+7CAD
0x83C0 U+7CC0
0x83C1 U+7CD8
0x83C2 U+7D9B
0x83C3 U+7E05
0x83C5 U+7E83
0x83C6 U+7E90
0x83C7 U+81A4
0x83C8 U+825D
0x83C9 U+8422
0x83CA U+84D9
0x83CB U+8630
0x83CC U+86AB
0x83CE U+88B0
0x83CF U+88C3
0x83D0 U+88C4
0x83D1 U+8904
0x83D2 U+8977
0x83D3 U+8EBE
0x83D4 U+8EC8
0x83D5 U+8F4C
0x83D8 U+9027
0x83D9 U+9056
0x83DB U+933B
0x83DC U+93B9
0x83DD U+958A
0x83DF U+9779
0x83E0 U+9786
0x83E1 U+9790
0x83E2 U+98AA
0x83E3 U+9B96
0x83E4 U+9B97
0x83E5 U+9BB4
0x83E7 U+9BD1
0x83E8 U+9BD2
0x83E9 U+9BF2
0x83EB U+9C30
0x83EC U+9C47
0x83ED U+9C5A
0x83EE U+9CF0
0x83EF U+9D46
0x83F0 U+9D64
0x83F5 U+9BB1
0x83F6 U+9C69
0x83F7 U+9D47
0x83F8 U+9D65
0x8440 U+5516
0x8441 U+58F7
0x8443 U+845B
0x8444 U+7114
0x8446 U+8956
0x8447 U+9D2C
0x8448 U+9D0E
0x8449 U+8EAF
0x844B U+6666
0x844C U+86CE
0x844D U+64B9
0x844F U+565B
0x8450 U+6F45
0x8451 U+8ACC
0x8452 U+7149
0x8453 U+5DCC
0x8454 U+9A28
0x8455 U+9A28
0x8456 U+7BAA
0x8458 U+9957
0x8459 U+5C2D
0x845A U+7E4B
0x845B U+981A
0x845C U+5026
0x845D U+6372
0x845E U+9E78
0x845F U+783F
0x8460 U+9EB9
0x8461 U+9EBA
0x8462 U+8CCE
0x8463 U+8B83
0x8464 U+93FD
0x8465 U+848B
0x8466 U+91A4
0x8467 U+7A63
0x8468 U+64B0
